words,chars,u_words,u_chars,sentences,avg_word_length,avg_sent_length,class
47,198,2,33,2,4,24,True
60,287,1,31,3,5,20,True
140,493,8,34,9,4,16,True
76,390,1,23,3,5,25,True
341,1305,25,51,14,4,24,True
49,224,2,7,2,5,25,True
50,204,2,28,3,4,17,True
57,202,2,34,4,4,14,True
71,278,3,26,2,4,36,True
13,76,1,18,1,6,13,True
15,69,2,18,1,5,15,True
23,91,1,17,1,4,23,True
21,80,3,17,1,4,21,True
13,68,1,16,1,5,13,True
61,254,2,25,2,4,31,True
15,76,2,18,1,5,15,True
14,80,1,15,1,6,14,True
27,117,1,21,3,4,9,True
12,69,1,19,1,6,12,True
15,92,1,17,1,6,15,True
11,67,2,17,1,6,11,True
18,101,1,19,1,6,18,True
12,60,1,16,2,5,6,True
38,150,3,18,1,4,38,True
14,85,2,16,1,6,14,True
22,118,1,18,2,5,11,True
56,241,1,21,3,4,19,True
15,75,1,16,1,5,15,True
19,79,1,16,1,4,19,True
11,66,1,18,1,6,11,True
15,62,1,17,1,4,15,True
50,196,2,25,3,4,17,True
24,101,1,18,1,4,24,True
14,72,1,18,1,5,14,True
20,85,1,17,1,4,20,True
39,180,1,20,2,5,20,True
56,275,1,25,2,5,28,True
59,237,1,25,2,4,30,True
19,97,0,4,2,5,10,True
46,217,1,20,3,5,15,True
61,276,1,23,2,5,31,True
51,212,1,28,3,4,17,True
49,237,2,27,2,5,25,True
47,190,3,29,2,4,24,True
46,182,0,6,5,4,9,True
45,198,2,25,1,4,45,True
143,545,7,31,10,4,14,True
46,188,0,4,3,4,15,True
53,239,1,22,3,5,18,True
61,293,1,29,3,5,20,True
65,270,4,29,3,4,22,True
67,278,2,23,3,4,22,True
75,283,1,26,4,4,19,True
50,225,1,22,2,5,25,True
50,249,2,24,2,5,25,True
27,115,1,21,2,4,14,True
83,302,1,33,4,4,21,True
26,140,2,24,2,5,13,True
23,106,3,26,2,5,12,True
51,226,1,19,4,4,13,True
40,172,2,17,3,4,13,True
83,302,1,33,4,4,21,True
35,184,2,6,2,5,18,True
39,160,1,23,4,4,10,True
69,264,2,20,3,4,23,True
63,254,2,32,3,4,21,True
42,194,2,30,2,5,21,True
59,264,3,25,4,4,15,True
16,79,2,17,1,5,16,True
13,80,2,16,1,6,13,True
17,82,1,17,1,5,17,True
17,81,1,17,1,5,17,True
13,77,1,16,1,6,13,True
14,82,1,18,1,6,14,True
14,78,1,17,1,6,14,True
14,70,1,17,1,5,14,True
24,107,2,21,1,4,24,True
18,73,1,16,1,4,18,True
16,75,1,16,1,5,16,True
14,69,1,16,1,5,14,True
27,102,1,17,1,4,27,True
18,91,1,17,1,5,18,True
16,76,2,19,1,5,16,True
17,85,1,16,1,5,17,True
14,70,1,16,1,5,14,True
16,80,1,15,1,5,16,True
13,82,1,16,1,6,13,True
26,97,2,17,2,4,13,True
22,92,1,18,2,4,11,True
13,65,1,15,1,5,13,True
12,64,2,18,1,5,12,True
37,149,2,26,2,4,19,True
16,80,1,15,1,5,16,True
20,92,1,17,1,5,20,True
18,77,1,15,1,4,18,True
15,78,4,30,1,5,15,True
15,76,1,16,2,5,8,True
53,236,1,16,3,4,18,True
16,80,1,16,1,5,16,True
14,80,1,17,1,6,14,True
14,61,1,16,2,4,7,True
22,95,1,18,2,4,11,True
14,67,1,16,1,5,14,True
16,79,1,17,2,5,8,True
17,81,1,19,1,5,17,True
14,80,1,17,1,6,14,True
15,75,2,18,1,5,15,True
13,76,1,16,1,6,13,True
15,75,2,19,1,5,15,True
36,188,1,21,1,5,36,True
14,84,1,17,1,6,14,True
50,219,0,11,3,4,17,True
39,196,0,3,3,5,13,True
21,81,3,20,2,4,11,True
13,76,1,16,1,6,13,True
16,84,1,17,1,5,16,True
11,71,1,15,1,6,11,True
16,70,2,18,1,4,16,True
16,81,2,19,1,5,16,True
23,96,3,16,1,4,23,True
13,78,1,17,1,6,13,True
12,71,1,16,1,6,12,True
14,81,2,17,1,6,14,True
17,78,3,20,2,5,9,True
13,68,1,18,1,5,13,True
16,65,1,16,1,4,16,True
21,93,1,18,1,4,21,True
21,80,2,18,1,4,21,True
19,80,2,18,2,4,10,True
40,177,1,19,3,4,13,True
46,215,3,18,2,5,23,True
65,268,2,26,2,4,33,True
48,191,1,19,4,4,12,True
48,242,2,25,2,5,24,True
41,233,1,25,2,6,21,True
92,423,2,29,5,5,18,True
51,223,1,31,3,4,17,True
84,390,3,33,3,5,28,True
53,225,1,32,3,4,18,True
45,224,1,33,3,5,15,True
58,230,2,27,4,4,15,True
41,210,4,29,2,5,21,True
35,169,4,27,2,5,18,True
52,265,5,39,2,5,26,True
61,282,1,40,2,5,31,True
58,277,1,26,2,5,29,True
55,286,3,40,2,5,28,True
76,348,5,39,4,5,19,True
63,306,5,39,3,5,21,True
60,326,3,27,3,5,20,True
36,183,1,29,2,5,18,True
46,209,2,31,2,5,23,True
62,300,5,44,3,5,21,True
50,248,1,27,2,5,25,True
24,123,1,25,3,5,8,True
42,143,3,16,2,3,21,True
39,178,3,21,2,5,20,True
49,197,2,23,2,4,25,True
32,124,1,15,3,4,11,True
35,155,1,19,2,4,18,True
42,261,3,35,3,6,14,True
67,339,1,20,3,5,22,True
51,207,4,35,4,4,13,True
62,290,2,28,3,5,21,True
56,244,3,26,3,4,19,True
46,199,1,15,4,4,12,True
56,237,2,29,3,4,19,True
52,216,5,28,2,4,26,True
56,274,3,31,2,5,28,True
51,231,2,26,3,5,17,True
75,356,3,26,5,5,15,True
65,321,3,35,3,5,22,True
64,314,5,40,3,5,21,True
84,392,2,27,5,5,17,True
52,272,4,30,3,5,17,True
27,129,3,30,3,5,9,True
48,246,3,37,2,5,24,True
55,282,2,37,2,5,28,True
56,285,3,37,3,5,19,True
44,253,1,24,2,6,22,True
38,179,1,30,3,5,13,True
63,237,2,30,3,4,21,True
52,265,2,31,3,5,17,True
25,149,1,11,4,6,6,True
72,330,4,31,3,5,24,True
66,346,3,30,3,5,22,True
59,298,3,33,3,5,20,True
36,207,1,24,2,6,18,True
13,48,0,1,1,4,13,False
45,203,1,17,1,5,45,False
46,181,1,24,2,4,23,True
45,180,1,22,4,4,11,True
62,237,1,31,3,4,21,True
64,281,1,23,2,4,32,True
50,251,1,27,3,5,17,False
37,160,1,28,3,4,12,False
33,135,1,17,1,4,33,False
31,149,1,18,2,5,16,False
31,137,1,19,3,4,10,False
42,188,1,18,2,4,21,False
29,109,2,20,2,4,15,False
49,200,2,17,2,4,25,False
29,123,1,21,2,4,15,False
50,242,1,24,3,5,17,False
48,257,1,19,2,5,24,False
46,184,3,19,2,4,23,False
34,157,1,17,3,5,11,False
48,224,1,20,2,5,24,False
23,114,1,17,2,5,12,False
64,273,1,19,2,4,32,False
23,126,2,20,2,5,12,False
50,203,2,22,1,4,50,False
39,175,1,18,3,4,13,False
16,114,0,5,2,7,8,False
47,206,3,26,3,4,16,True
48,179,4,23,3,4,16,True
37,176,1,20,3,5,12,True
40,198,1,19,2,5,20,True
36,126,1,21,4,4,9,True
43,189,1,26,1,4,43,True
47,223,1,15,2,5,24,True
41,151,1,15,4,4,10,True
39,177,4,27,2,5,20,True
2,7,0,1,1,4,2,False
52,228,1,22,2,4,26,True
30,141,2,20,3,5,10,True
44,223,2,20,2,5,22,True
64,263,1,29,2,4,32,True
73,295,2,18,3,4,24,False
22,101,1,21,2,5,11,False
18,74,0,4,3,4,6,False
51,245,1,20,2,5,26,True
48,211,2,24,2,4,24,True
39,150,2,22,4,4,10,True
42,239,2,26,4,6,11,True
23,114,1,14,1,5,23,False
27,124,1,18,1,5,27,False
27,124,1,18,1,5,27,False
20,65,1,4,1,3,20,False
23,116,3,16,1,5,23,False
19,104,1,14,1,5,19,False
45,196,3,18,1,4,45,False
35,160,1,16,2,5,18,False
12,39,1,4,2,3,6,False
25,120,1,20,3,5,8,False
71,286,1,14,1,4,71,False
54,204,0,7,3,4,18,False
45,220,1,26,1,5,45,False
27,140,1,14,1,5,27,False
27,152,1,18,1,6,27,False
29,130,3,28,1,4,29,False
35,156,3,20,1,4,35,False
23,91,1,10,1,4,23,False
29,124,1,14,1,4,29,False
61,220,5,28,1,4,61,False
49,215,1,23,2,4,25,True
43,222,2,26,2,5,22,True
46,236,3,24,2,5,23,True
43,209,4,17,3,5,14,True
0,0,0,0,0,0,0,False
66,315,1,23,2,5,33,True
42,203,1,22,3,5,14,True
52,210,1,26,2,4,26,True
55,220,1,20,2,4,28,True
6,18,1,2,1,3,6,False
41,188,5,28,1,5,41,False
16,65,2,12,2,4,8,False
31,174,3,20,1,6,31,False
47,214,3,22,1,5,47,False
33,142,1,22,1,4,33,False
41,178,2,18,4,4,10,False
35,202,1,14,1,6,35,False
21,126,1,18,1,6,21,False
41,218,3,32,2,5,21,False
39,166,1,20,1,4,39,False
39,170,1,18,1,4,39,False
14,55,1,7,2,4,7,False
15,66,0,3,2,4,8,False
31,176,1,20,1,6,31,False
23,104,1,14,1,5,23,False
43,198,1,20,1,5,43,False
14,55,0,6,1,4,14,False
39,196,1,18,1,5,39,False
31,136,1,18,1,4,31,False
41,198,1,18,1,5,41,False
47,222,1,22,5,5,9,True
51,222,2,22,4,4,13,True
43,196,1,18,2,5,22,True
39,198,2,22,2,5,20,True
17,59,0,7,2,3,9,False
29,152,1,18,1,5,29,False
43,154,1,14,1,4,43,False
27,132,1,18,1,5,27,False
27,144,1,16,1,5,27,False
20,54,2,4,1,3,20,False
17,71,0,1,1,4,17,False
41,188,3,20,1,5,41,False
27,144,1,14,1,5,27,False
37,164,3,28,1,4,37,False
40,160,0,4,4,4,10,False
21,108,1,14,1,5,21,False
61,280,1,20,1,5,61,False
29,162,1,14,1,6,29,False
41,194,1,14,1,5,41,False
13,70,0,1,1,5,13,False
16,95,1,5,2,6,8,False
10,62,0,4,2,6,5,False
29,134,2,17,2,5,15,False
21,92,1,16,1,4,21,False
24,104,1,15,1,4,24,False
40,149,1,18,3,4,13,True
46,217,2,24,2,5,23,True
45,233,2,21,3,5,15,True
33,144,1,18,3,4,11,True
34,155,1,20,2,5,17,True
26,117,1,12,1,5,26,False
49,250,4,31,3,5,16,True
28,114,2,19,2,4,14,True
31,142,3,22,2,5,16,True
37,164,1,19,2,4,19,True
40,215,1,19,2,5,20,True
25,105,3,25,2,4,13,False
64,263,2,35,2,4,32,True
56,223,1,21,4,4,14,True
61,247,2,16,2,4,31,True
41,223,1,20,2,5,21,True
23,97,1,13,1,4,23,False
11,46,2,3,1,4,11,False
22,111,1,12,1,5,22,False
26,112,1,13,1,4,26,False
17,81,1,13,1,5,17,False
16,73,0,5,3,5,5,False
17,101,0,1,1,6,17,False
13,79,0,1,1,6,13,False
13,80,0,1,1,6,13,False
17,90,2,10,1,5,17,False
41,174,1,29,3,4,14,False
34,129,0,4,4,4,9,False
30,123,0,3,2,4,15,False
32,115,0,4,4,4,8,False
19,81,0,3,3,4,6,False
34,111,1,3,4,3,9,False
47,214,2,25,3,5,16,True
40,181,3,22,3,5,13,True
44,179,2,19,5,4,9,True
