nouns,pronouns,verbs,numbers,adjectives,conjunctions,adverbs,class
5,15,5,1,1,0,0,True
7,13,6,0,1,0,2,True
21,7,21,4,4,0,8,True
18,12,8,0,6,0,2,True
45,1,46,2,20,0,19,True
13,3,6,1,5,0,1,True
8,11,6,0,2,0,0,True
4,18,5,1,3,0,0,True
13,6,9,0,2,0,2,True
4,1,3,0,1,0,0,True
5,4,1,0,0,0,1,True
3,3,3,1,1,0,1,True
9,2,2,1,0,0,1,True
3,3,2,0,0,0,0,True
13,9,1,0,7,0,1,True
7,3,1,0,0,0,0,True
4,2,2,0,0,0,0,True
6,4,4,0,1,0,1,True
1,6,2,0,0,0,0,True
4,4,1,0,1,0,0,True
5,2,1,0,1,0,0,True
5,4,2,0,1,0,0,True
3,1,2,0,0,0,0,True
3,2,10,1,1,0,0,True
5,2,2,0,0,0,0,True
5,4,2,0,2,0,1,True
11,4,6,0,5,0,3,True
2,1,4,2,0,0,0,True
2,2,3,0,2,0,0,True
2,5,1,0,1,0,0,True
2,4,0,0,1,0,0,True
4,9,7,0,4,0,0,True
2,3,5,0,0,0,1,True
2,5,1,1,1,0,0,True
1,3,3,0,1,0,1,True
8,6,7,2,0,0,0,True
12,13,6,0,1,0,0,True
10,17,7,1,0,0,2,True
7,0,0,0,4,0,0,True
5,9,2,3,6,0,2,True
13,8,5,3,1,0,0,True
6,12,4,1,1,0,0,True
10,7,6,0,3,0,1,True
8,7,2,5,6,0,2,True
9,0,3,3,3,0,2,True
7,11,1,0,5,0,0,True
16,4,22,1,5,0,8,True
8,1,6,0,4,0,0,True
9,6,7,3,3,0,0,True
11,16,4,1,3,0,0,True
8,16,9,0,0,0,0,True
11,8,7,4,4,0,1,True
12,8,5,5,5,0,2,True
11,12,2,1,2,0,0,True
8,14,5,1,4,0,0,True
1,7,3,2,1,0,1,True
14,9,3,1,5,0,2,True
5,9,1,0,1,0,0,True
1,11,1,0,0,0,0,True
9,7,4,0,4,0,1,True
5,3,6,1,4,0,2,True
14,9,3,1,5,0,2,True
9,1,5,1,4,0,2,True
6,2,6,0,1,0,3,True
11,6,8,2,4,0,0,True
9,10,3,0,3,0,2,True
3,13,4,2,2,0,0,True
11,9,6,1,1,0,0,True
6,1,3,0,1,0,0,True
5,1,3,0,1,0,0,True
2,3,3,0,2,0,1,True
5,3,0,0,2,0,0,True
3,3,1,1,0,0,0,True
3,5,1,0,1,0,0,True
2,3,3,0,2,0,0,True
4,3,1,0,1,0,0,True
3,4,5,0,0,0,3,True
3,3,0,0,0,0,1,True
4,3,1,0,3,0,0,True
5,2,1,0,1,0,0,True
6,2,3,1,2,0,0,True
5,4,1,1,1,0,0,True
1,4,4,0,1,0,0,True
2,1,1,1,3,0,1,True
3,2,1,0,2,0,0,True
4,2,3,0,0,0,0,True
1,3,3,0,2,0,1,True
4,0,5,2,1,0,2,True
5,2,2,0,2,0,1,True
4,2,1,0,1,0,1,True
3,3,2,0,1,0,0,True
6,9,5,1,0,0,0,True
4,3,1,0,0,0,0,True
4,3,2,0,0,0,0,True
4,1,3,0,1,0,0,True
2,5,2,0,0,0,0,True
3,0,1,0,3,0,0,True
13,2,5,0,2,0,0,True
2,2,4,0,0,0,1,True
2,3,1,0,2,0,0,True
3,2,1,0,0,0,1,True
6,4,0,0,1,0,1,True
3,2,2,1,2,0,0,True
4,1,2,0,2,0,0,True
5,4,1,0,0,0,0,True
4,3,1,0,1,0,0,True
3,2,1,1,3,0,0,True
4,3,3,0,0,0,0,True
5,3,1,0,1,0,0,True
10,7,4,0,1,0,1,True
2,3,2,0,2,0,0,True
8,8,5,1,3,0,3,True
13,1,4,1,2,0,1,True
7,1,1,0,1,0,1,True
4,0,4,0,1,0,0,True
4,3,1,0,2,0,0,True
4,1,2,0,1,0,0,True
2,3,3,1,1,0,0,True
4,3,2,2,0,0,0,True
6,0,4,0,0,0,0,True
2,2,4,0,1,0,0,True
4,3,1,1,0,0,0,True
5,3,1,0,0,0,1,True
3,3,2,0,0,0,0,True
3,3,1,1,2,0,0,True
1,2,4,0,1,0,0,True
4,2,3,0,2,0,0,True
3,3,1,0,1,0,0,True
2,3,3,0,1,0,2,True
5,5,4,0,2,0,4,True
8,6,6,4,3,0,3,True
