@relation sentiment_vector

@attribute negative numeric
@attribute neutral numeric
@attribute positive numeric
@attribute compound numeric
@attribute class {True,False}

@data
0,0.548,0.452,0.765,False
0.033,0.733,0.234,0.875,False
0,1,0,0,False
0,1,0,0,False
0.158,0.77,0.071,-0.6457,False
0.18,0.697,0.123,-0.1045,False
0,1,0,0,False
0.172,0.709,0.119,-0.4019,False
0,1,0,0,False
0,0.897,0.103,0.2942,False
0,0.851,0.149,0.5254,False
0.048,0.952,0,-0.34,False
0.207,0.793,0,-0.6643,False
0,0.872,0.128,0.3612,True
0.231,0.769,0,-0.5574,True
0.105,0.81,0.085,-0.128,True
0.065,0.758,0.177,0.6486,True
0,1,0,0,True
0,1,0,0,True
0.231,0.769,0,-0.5574,True
0,1,0,0,True
0,1,0,0,True
0,0.745,0.255,0.7579,True
0,1,0,0,True
0,1,0,0,True
0.161,0.839,0,-0.7964,True
0,1,0,0,True
0,1,0,0,False
0.16,0.792,0.048,-0.7964,False
0.114,0.797,0.089,-0.0258,True
0,1,0,0,True
0,0.694,0.306,0.8402,False
0.15,0.636,0.214,0.1027,True
0.224,0.776,0,-0.6369,True
0,1,0,0,True
0,0.87,0.13,0.6757,False
0,1,0,0,True
0,1,0,0,False
0.341,0.571,0.088,-0.91,False
0,1,0,0,True
0,0.915,0.085,0.4404,True
0,0.837,0.163,0.4019,True
0,0.771,0.229,0.8442,False
0,1,0,0,True
0,1,0,0,True
0.282,0.718,0,-0.6711,True
0.062,0.79,0.148,0.4094,False
0,1,0,0,True
0.174,0.826,0,-0.8126,True
0,1,0,0,True
0.154,0.846,0,-0.6124,False
0,1,0,0,True
0,0.943,0.057,0.4404,True
0,0.917,0.083,0.4678,False
0.291,0.653,0.056,-0.9338,True
0.157,0.561,0.282,0.3034,True
0.124,0.792,0.084,-0.3818,True
0.131,0.754,0.115,-0.1027,False
0,1,0,0,True
0,0.968,0.032,0.2263,True
0,0.519,0.481,0.8807,True
0.054,0.869,0.077,0.2732,True
0.025,0.8,0.175,0.8494,False
0,1,0,0,True
0.21,0.669,0.12,-0.5801,True
0.233,0.716,0.051,-0.8258,True
0.064,0.824,0.113,0.2732,True
0.124,0.792,0.084,-0.3818,True
0.291,0.653,0.056,-0.9338,True
0.101,0.831,0.068,-0.4588,True
0.21,0.669,0.12,-0.5801,True
0.161,0.669,0.17,0.128,False
0.069,0.748,0.183,0.5859,False
0.174,0.826,0,-0.8126,True
0.096,0.844,0.06,-0.3595,False
0,1,0,0,False
0,0.968,0.032,0.2263,True
0,0.807,0.193,0.8225,False
0.093,0.782,0.125,0.264,False
0.089,0.773,0.138,0.2732,False
0.233,0.716,0.051,-0.8258,True
0.069,0.743,0.188,0.7939,False
0.183,0.753,0.064,-0.6369,True
0.122,0.811,0.068,-0.25,False
0,0.915,0.085,0.4199,False
0.094,0.906,0,-0.7906,True
0,1,0,0,False
0.044,0.956,0,-0.4019,True
0.127,0.873,0,-0.4404,False
0.098,0.862,0.04,-0.3612,True
0,1,0,0,False
0,1,0,0,True
0.135,0.865,0,-0.4404,False
0.183,0.788,0.028,-0.8507,True
0,0.907,0.093,0.4559,False
0.228,0.772,0,-0.9413,True
0.166,0.728,0.106,-0.5719,True
0.034,0.855,0.112,0.5358,True
0.065,0.889,0.046,-0.2023,True
0.223,0.7,0.077,-0.6597,False
0.163,0.837,0,-0.8126,True
0.171,0.769,0.061,-0.5744,True
0.075,0.542,0.383,0.8442,False
0.19,0.704,0.106,-0.6858,False
0.059,0.941,0,-0.4019,True
0,0.943,0.057,0.4404,True
0.035,0.836,0.129,0.5707,False
0,0.761,0.239,0.8316,False
0,1,0,0,False
0,1,0,0,False
0.126,0.874,0,-0.5994,True
0,1,0,0,False
0.128,0.769,0.103,-0.1779,False
0.046,0.954,0,-0.0644,False
0.031,0.937,0.033,0.0258,False
0.069,0.931,0,-0.4767,True
0,0.825,0.175,0.8268,False
0.279,0.721,0,-0.7644,False
0.114,0.817,0.069,-0.1921,True
0.094,0.906,0,-0.7906,True
0,0.955,0.045,0.2023,False
0,0.748,0.252,0.8126,False
0.185,0.815,0,-0.8714,True
0,1,0,0,False
0.06,0.648,0.292,0.8338,False
0.191,0.743,0.066,-0.7339,False
0.239,0.593,0.168,-0.3577,False
0,0.776,0.224,0.802,False
0,1,0,0,False
0,1,0,0,True
0,0.925,0.075,0.0772,False
0.101,0.854,0.045,-0.2991,True
0,0.959,0.041,0.2732,True
0,0.902,0.098,0.3382,False
0,0.848,0.152,0.6696,False
0,0.898,0.102,0.636,False
0.191,0.675,0.133,-0.2732,False
0.14,0.835,0.025,-0.7269,True
0.269,0.731,0,-0.7655,False
0.076,0.625,0.298,0.75,False
0.037,0.749,0.214,0.765,False
0.318,0.682,0,-0.8129,False
0,0.891,0.109,0.4696,False
0,1,0,0,True
0.093,0.794,0.112,0.1027,False
0.119,0.815,0.066,-0.4753,False
0.062,0.937,0,-0.296,False
0,1,0,0,False
0.084,0.774,0.142,0.4019,False
0,0.791,0.209,0.7264,False
0.259,0.741,0,-0.8126,False
0.045,0.955,0,-0.2755,False
0.07,0.93,0,-0.2755,False
0,0.922,0.078,0.3182,False
0.05,0.95,0,-0.2617,False
0.212,0.619,0.17,-0.2732,False
0,0.75,0.25,0.7901,False
0.164,0.753,0.083,-0.4753,False
0,1,0,0,False
0.156,0.758,0.086,-0.6597,False
0,0.739,0.261,0.5983,False
0.026,0.855,0.119,0.7177,False
0.279,0.721,0,-0.8908,False
0,1,0,0,False
0.217,0.678,0.104,-0.4864,False
0,0.945,0.055,0.2732,False
0.187,0.813,0,-0.784,False
0,0.759,0.241,0.5859,False
0.08,0.68,0.24,0.7644,False
0.095,0.659,0.246,0.6486,False
0,0.819,0.181,0.6486,False
0.215,0.683,0.102,-0.765,False
0.118,0.799,0.083,0,False
0.146,0.854,0,-0.5574,False
0.141,0.788,0.071,-0.3818,True
0,1,0,0,False
0.092,0.759,0.149,0.4003,False
0,0.834,0.166,0.68,False
0.071,0.875,0.053,-0.2732,False
0,0.77,0.23,0.6988,False
0,0.763,0.237,0.7351,False
0.054,0.946,0,-0.2732,False
0,0.867,0.133,0.6486,False
0.068,0.731,0.201,0.4404,False
0.12,0.81,0.069,-0.0516,False
0,0.969,0.031,0.0772,False
0.058,0.808,0.134,0.5106,False
0,1,0,0,False
0,0.871,0.129,0.395,False
0,1,0,0,False
0.043,0.817,0.14,0.6705,False
0,1,0,0,False
0.06,0.874,0.067,0.3182,False
0.266,0.506,0.229,-0.2887,False
0.062,0.69,0.248,0.8225,False
0.252,0.607,0.141,-0.5423,False
0,1,0,0,False
0.251,0.749,0,-0.8773,False
0.045,0.955,0,-0.1027,False
0.314,0.625,0.061,-0.9201,False
0.054,0.946,0,-0.34,False
0.095,0.905,0,-0.3455,False
0,1,0,0,False
0.06,0.888,0.051,-0.128,False
0,1,0,0,False
0.331,0.669,0,-0.886,False
0.059,0.941,0,-0.4215,False
0.076,0.861,0.063,-0.128,False
0.066,0.716,0.218,0.7269,False
0,0.892,0.108,0.6792,False
0.056,0.794,0.151,0.5868,False
0,0.892,0.108,0.4391,False
0.241,0.622,0.137,-0.4897,False
0,1,0,0,False
0.154,0.72,0.126,-0.3404,False
0,1,0,0,False
0.197,0.504,0.298,0.5267,False
0,1,0,0,False
0,0.745,0.255,0.34,False
0.085,0.813,0.102,-0.0258,False
0,0.451,0.549,0.8599,False
0,1,0,0,False
0,0.942,0.058,0.296,False
0.112,0.689,0.2,0.5719,False
0,1,0,0,False
0,1,0,0,False
0.096,0.904,0,-0.3818,False
0,0.904,0.096,0.4678,False
0,1,0,0,False
0,0.924,0.076,0.4939,False
0,1,0,0,False
0.046,0.927,0.027,-0.2023,True
0.056,0.944,0,-0.5719,True
0.137,0.696,0.166,0.3612,True
0.168,0.719,0.113,-0.4843,False
0.06,0.883,0.057,-0.0258,False
0.185,0.663,0.152,-0.296,False
0,0.853,0.147,0.6072,False
0,0.879,0.121,0.6249,False
0.194,0.713,0.094,-0.5423,False
0.246,0.754,0,-0.7579,False
0.045,0.712,0.243,0.743,False
0,1,0,0,False
0.285,0.715,0,-0.7177,False
0,1,0,0,False
0.365,0.635,0,-0.8164,False
0.089,0.844,0.067,-0.3612,True
0.139,0.8,0.061,-0.6249,True
0.072,0.904,0.025,-0.4348,True
0,1,0,0,False
0,0.769,0.231,0.6588,False
0.264,0.736,0,-0.5562,False
0.292,0.708,0,-0.7351,False
0,0.88,0.12,0.1531,False
0,0.829,0.171,0.5093,False
0,0.812,0.188,0.5267,False
0,0.812,0.188,0.5267,False
0,0.961,0.039,0.2755,True
0.053,0.899,0.048,-0.0772,True
0,1,0,0,False
0.212,0.788,0,-0.5815,False
0,0.853,0.147,0.4767,False
0.286,0.714,0,-0.7184,False
0.444,0.339,0.217,-0.6908,False
0.066,0.655,0.279,0.7081,False
0,0.871,0.129,0.5574,False
0,0.651,0.349,0.8481,False
0.225,0.775,0,-0.296,False
0,0.689,0.311,0.8555,False
0,1,0,0,False
0,1,0,0,False
0,0.736,0.264,0.7263,False
0,1,0,0,False
0,1,0,0,False
0,0.556,0.444,0.7506,False
0.15,0.733,0.117,0.258,False
0.072,0.928,0,-0.1027,False
0,1,0,0,False
0,0.714,0.286,0.7783,False
0,0.892,0.108,0.3182,False
0,1,0,0,False
0,0.707,0.293,0.4404,False
0.053,0.947,0,-0.2023,True
0.162,0.838,0,-0.7351,True
0,0.695,0.305,0.836,False
0,0.772,0.228,0.7579,False
0.157,0.714,0.129,-0.2006,False
0,0.759,0.241,0.6597,False
0,0.769,0.231,0.6369,False
0,0.769,0.231,0.5574,False
0.054,0.85,0.096,0.3578,False
0.231,0.579,0.19,-0.2006,False
0,1,0,0,False
0,1,0,0,False
0,0.828,0.172,0.4404,False
0.36,0.422,0.218,-0.7506,False
0.108,0.892,0,-0.3182,False
0,1,0,0,False
0.336,0.664,0,-0.796,False
0.303,0.697,0,-0.8271,False
0.097,0.903,0,-0.6705,True
0,0.807,0.193,0.4767,False
0,1,0,0,False
0.066,0.934,0,-0.4019,True
0,0.969,0.031,0.0772,True
0,1,0,0,True
0,1,0,0,True
0,1,0,0,False
0,0.658,0.342,0.7003,False
0.299,0.658,0.043,-0.8837,False
0,1,0,0,False
0.427,0.573,0,-0.8481,False
0.24,0.76,0,-0.8796,False
0,0,0,0,False
0.083,0.66,0.257,0.7906,False
0,0.753,0.247,0.5574,False
0,1,0,0,False
0,0.827,0.173,0.5859,False
0.042,0.479,0.479,0.9485,False
0,1,0,0,False
0.141,0.859,0,-0.2023,False
0,0.565,0.435,0.9349,False
0.291,0.709,0,-0.8982,False
0,1,0,0,False
0.022,0.937,0.041,0.775,False
0.055,0.748,0.197,0.6908,False
0,1,0,0,False
0,0.676,0.324,0.802,False
0,1,0,0,False
0,1,0,0,False
0,1,0,0,True
0,1,0,0,True
0,1,0,0,True
0,1,0,0,True
0,1,0,0,True
0,1,0,0,True
0,1,0,0,True
0,1,0,0,True
0,0.902,0.098,0.34,True
0.209,0.714,0.077,-0.34,True
0,1,0,0,True
0.074,0.926,0,-0.25,True
0,0.755,0.245,0.7783,True
0.397,0.603,0,-0.91,True
0,1,0,0,True
0,0.791,0.209,0.5719,True
0,1,0,0,True
0,1,0,0,False
0,0.887,0.113,0.4939,True
0.146,0.854,0,-0.4449,False
0,0.192,0.808,0.6369,False
0,0.861,0.139,0.6369,True
0,1,0,0,False
0.077,0.923,0,-0.25,True
0.392,0.608,0,-0.5448,False
0.4,0.6,0,-0.875,True
0.274,0.726,0,-0.7783,True
0.177,0.823,0,-0.7845,True
0,1,0,0,False
0,1,0,0,True
0,1,0,0,False
0,0,0,0,False
0.085,0.915,0,-0.0772,True
0,1,0,0,True
0,0.821,0.179,0.6124,False
0.325,0.675,0,-0.7717,True
0.453,0.547,0,-0.7003,False
0,1,0,0,True
0.149,0.744,0.107,-0.25,True
0,1,0,0,True
0,0,0,0,False
0.17,0.83,0,-0.4767,True
0,1,0,0,True
0,0.699,0.301,0.872,True
0.199,0.694,0.106,-0.4588,True
0,1,0,0,True
0,0.75,0.25,0.7184,True
0.189,0.709,0.102,-0.2732,True
0.131,0.774,0.095,-0.1531,True
0.22,0.78,0,-0.5859,True
0,0.586,0.414,0.872,True
0,1,0,0,False
0,0.711,0.289,0.7269,True
0.161,0.839,0,-0.5267,False
0.122,0.709,0.169,0.1027,True
0,1,0,0,False
0.701,0.299,0,-0.9545,False
0,1,0,0,True
0,0.81,0.19,0.6113,True
0,1,0,0,False
0,1,0,0,False
0.376,0.624,0,-0.9167,True
0,1,0,0,True
0,0.671,0.329,0.6597,False
0,0.828,0.172,0.6597,True
0,1,0,0,False
0.2,0.8,0,-0.6705,True
0.375,0.625,0,-0.765,False
0.055,0.945,0,-0.2023,True
0.157,0.843,0,-0.3818,True
0.137,0.775,0.088,-0.34,True
0.26,0.609,0.132,-0.8196,True
0,0.667,0.333,0.3612,False
0,1,0,0,True
0.234,0.766,0,-0.7506,True
0.151,0.849,0,-0.4939,True
0,1,0,0,True
0.123,0.808,0.069,-0.34,True
0.074,0.789,0.137,0.296,True
0,1,0,0,True
0,0.769,0.231,0.5106,True
0.32,0.68,0,-0.836,True
0.14,0.86,0,-0.4767,True
0.069,0.891,0.04,-0.2263,True
0.087,0.869,0.044,-0.3818,True
0.322,0.678,0,-0.8225,True
0.261,0.739,0,-0.8481,True
0.099,0.617,0.284,0.5423,True
0,0.812,0.188,0.5719,True
0.396,0.604,0,-0.802,True
0,0.488,0.512,0.6361,True
0.178,0.822,0,-0.5709,True
0.144,0.856,0,-0.4939,True
0.201,0.799,0,-0.6476,True
0.112,0.81,0.078,-0.2732,True
0,1,0,0,True
0.214,0.68,0.107,-0.5106,True
0.309,0.551,0.14,-0.4588,True
0.273,0.727,0,-0.7845,True
0.068,0.932,0,-0.1531,True
0.293,0.707,0,-0.6597,True
0.198,0.711,0.091,-0.4019,True
0.218,0.644,0.139,-0.3818,True
0.32,0.44,0.24,-0.2484,True
0.165,0.739,0.096,-0.4678,True
0.107,0.893,0,-0.34,True
0,0.778,0.222,0.7906,True
0.147,0.853,0,-0.3182,True
0.189,0.811,0,-0.4215,True
0.225,0.742,0.033,-0.8402,True
0,1,0,0,True
0.068,0.932,0,-0.296,True
0,0.741,0.259,0.6369,True
0,0.607,0.393,0.9552,True
0.298,0.702,0,-0.7783,True
0.129,0.745,0.125,-0.0258,True
0.302,0.698,0,-0.8442,True
0.181,0.819,0,-0.4767,True
0,1,0,0,True
0.207,0.793,0,-0.6652,True
0.124,0.649,0.227,0.5859,True
0.254,0.746,0,-0.7579,True
0.103,0.897,0,-0.34,True
0.352,0.648,0,-0.9451,True
0.167,0.833,0,-0.8481,True
0,1,0,0,True
0,0.881,0.119,0.3182,True
0.276,0.724,0,-0.8834,True
0.152,0.848,0,-0.7096,True
0,0.904,0.096,0.5719,True
0,1,0,0,True
0.145,0.645,0.21,0.0516,True
0,1,0,0,True
0,0.895,0.105,0.5267,True
0.435,0.565,0,-0.8689,True
0.311,0.612,0.078,-0.872,True
0.102,0.763,0.136,0.0516,True
0.281,0.719,0,-0.5719,True
0,0.856,0.144,0.4019,True
0,0.892,0.108,0.3182,True
0.105,0.895,0,-0.4019,True
0.35,0.56,0.09,-0.8519,True
0.172,0.828,0,-0.6124,True
0.083,0.917,0,-0.25,True
0,0.891,0.109,0.296,True
0.315,0.685,0,-0.7783,True
0.173,0.472,0.354,0.5574,True
0,0.906,0.094,0.34,True
0,1,0,0,True
0.228,0.772,0,-0.7269,True
0,0.912,0.088,0.4404,True
0.147,0.796,0.058,-0.6428,True
0.344,0.656,0,-0.4927,True
0,1,0,0,True
0.354,0.646,0,-0.8519,True
0,1,0,0,True
0,0.842,0.158,0.4939,True
0.202,0.688,0.11,-0.25,True
0.089,0.8,0.111,0.1326,True
0.273,0.649,0.078,-0.7906,True
0.106,0.894,0,-0.3818,True
0.348,0.652,0,-0.7906,True
0.109,0.891,0,-0.4019,True
0.218,0.447,0.335,0.2732,True
0.231,0.769,0,-0.7783,True
0,0.874,0.126,0.3182,True
0.103,0.897,0,-0.3182,True
0.121,0.78,0.099,-0.1531,True
0,0.848,0.152,0.5267,True
0.12,0.796,0.085,-0.1793,True
0,0.811,0.189,0.6369,True
0,0.93,0.07,0.3612,True
0,0.842,0.158,0.4939,True
0,1,0,0,True
0.218,0.576,0.206,-0.0772,True
0,1,0,0,True
0.091,0.76,0.148,0.3612,True
0.155,0.7,0.146,-0.0772,True
0,1,0,0,True
0,0.764,0.236,0.5719,True
0.422,0.578,0,-0.8074,True
0.15,0.85,0,-0.2755,True
0.095,0.85,0.055,-0.2023,True
0,1,0,0,True
0.086,0.81,0.105,0.1027,True
0.261,0.739,0,-0.6929,True
0.085,0.915,0,-0.0516,True
0.071,0.532,0.397,0.8481,True
0.15,0.578,0.272,0.3818,True
0.231,0.769,0,-0.5994,True
0,0.678,0.322,0.886,True
0,0.963,0.037,0.1027,True
0.261,0.739,0,-0.8126,True
0,0.875,0.125,0.4588,True
0,0.85,0.15,0.4576,True
0,0.758,0.242,0.6908,True
0,1,0,0,True
0,0.931,0.069,0.1027,True
0,0.812,0.188,0.4588,True
0.265,0.552,0.182,-0.128,True
0,0.8,0.2,0.5423,True
0,0.807,0.193,0.3384,True
0.184,0.468,0.348,0.7096,True
0,0.813,0.187,0.5574,True
0.341,0.659,0,-0.9081,True
0.059,0.878,0.062,0.0258,True
0.333,0.667,0,-0.8402,True
0.132,0.759,0.109,-0.1793,True
0.344,0.656,0,-0.875,True
0.085,0.851,0.064,-0.1531,True
0.234,0.649,0.117,-0.4019,True
0.282,0.718,0,-0.9001,True
0.143,0.745,0.112,-0.128,True
0,0.802,0.198,0.6369,True
0,0.95,0.05,0.0258,True
0.288,0.712,0,-0.8176,True
0.361,0.579,0.059,-0.8735,True
0.258,0.627,0.114,-0.5994,True
0.204,0.695,0.101,-0.5106,True
0.31,0.69,0,-0.872,True
0.331,0.669,0,-0.872,True
0,0.927,0.073,0.5106,True
0.257,0.743,0,-0.875,True
0.097,0.903,0,-0.4404,True
0,0.645,0.355,0.765,True
0,0.896,0.104,0.4215,True
0,0.814,0.186,0.743,True
0,1,0,0,True
0.41,0.59,0,-0.91,True
0,1,0,0,True
0,0.811,0.189,0.6369,True
0,1,0,0,True
0,0.811,0.189,0.4215,True
0.326,0.419,0.256,-0.3612,True
0,0.69,0.31,0.743,True
0,1,0,0,True
0,0.795,0.205,0.5994,True
0.292,0.585,0.123,-0.7964,True
0.104,0.896,0,-0.4215,True
0.337,0.663,0,-0.8934,True
0.091,0.909,0,-0.4767,True
0.238,0.762,0,-0.8176,True
0,0.798,0.202,0.765,True
0,1,0,0,True
0,0.739,0.261,0.872,True
0.069,0.931,0,-0.2183,True
0.13,0.87,0,-0.2732,True
0,1,0,0,True
0.4,0.6,0,-0.9367,True
0.217,0.679,0.103,-0.7351,True
0.562,0.438,0,-0.8402,True
0,0.73,0.27,0.5719,True
0.18,0.82,0,-0.3818,True
0.309,0.691,0,-0.765,True
0.161,0.839,0,-0.3612,True
0,1,0,0,True
0.294,0.706,0,-0.8083,True
0.356,0.599,0.044,-0.8979,True
0.142,0.726,0.132,-0.0772,True
0,0.846,0.154,0.4588,True
0.102,0.804,0.095,-0.0772,True
0,0.757,0.243,0.6696,True
0,0.833,0.167,0.4939,True
0.113,0.546,0.34,0.6597,True
0.139,0.723,0.139,0,True
0,0.899,0.101,0.4215,True
0,1,0,0,True
0,0.885,0.115,0.6166,True
0.066,0.934,0,-0.296,True
0,0.924,0.076,0.2023,True
0,0.693,0.307,0.7964,True
0.061,0.745,0.194,0.6124,True
0.067,0.656,0.277,0.6956,True
0,0.762,0.238,0.802,True
0.072,0.843,0.084,0.1027,True
0,1,0,0,True
0,1,0,0,True
0.286,0.714,0,-0.8225,True
0,0.519,0.481,0.9313,True
0.144,0.807,0.049,-0.5106,True
0,0.638,0.362,0.91,True
0,1,0,0,False
0,0.92,0.08,0.4515,False
0,0.959,0.041,0.2144,False
0,1,0,0,False
0,0,0,0,False
0,1,0,0,False
0,1,0,0,False
0.111,0.812,0.077,-0.2183,False
0,0.874,0.126,0.5574,False
0,0,0,0,False
0,0.882,0.118,0.4939,False
0,1,0,0,False
0,0.821,0.179,0.5719,False
0,1,0,0,False
0,1,0,0,False
0.07,0.827,0.103,0.2023,False
0,0.871,0.129,0.6142,False
0,0.867,0.133,0.6705,False
0,0.881,0.119,0.4767,False
0,0.8,0.2,0.5411,False
0.116,0.884,0,-0.6808,False
0,1,0,0,False
0.046,0.954,0,-0.2023,False
0,0.808,0.192,0.8176,False
0,1,0,0,False
0,1,0,0,False
0.103,0.828,0.069,-0.128,False
0,1,0,0,False
0.129,0.871,0,-0.5719,False
0,0,0,0,False
0.146,0.672,0.183,0,False
0.308,0.692,0,-0.8316,False
0.108,0.522,0.371,0.9276,False
0,0,0,0,False
0.071,0.771,0.158,0.5766,False
0.098,0.902,0,-0.34,False
0,0.814,0.186,0.7964,False
0,1,0,0,False
0.148,0.741,0.111,-0.34,False
0,1,0,0,True
0,0.89,0.11,0.8422,False
0,0.896,0.104,0.6124,False
0,1,0,0,False
0,0.851,0.149,0.7003,False
0.142,0.566,0.292,0.9081,False
0,0.735,0.265,0.943,False
0,1,0,0,False
0.06,0.94,0,-0.3057,False
0,0.937,0.063,0.5106,False
0,0,0,0,False
0,1,0,0,False
0,0.868,0.132,0.4404,False
0.245,0.755,0,-0.9393,False
0,1,0,0,False
0.368,0.632,0,-0.9246,False
0,0,0,0,False
0,0.765,0.235,0.93,False
0,0.703,0.297,0.932,False
0.11,0.89,0,-0.5859,False
0,0.244,0.756,0.4754,False
0,0.88,0.12,0.802,False
0,0,0,0,False
0,0.842,0.158,0.7003,False
0,1,0,0,False
0.084,0.801,0.114,0.5119,False
0.551,0.449,0,-0.5688,False
0,1,0,0,False
0,1,0,0,False
0.042,0.817,0.142,0.6965,False
0.331,0.669,0,-0.886,False
0,1,0,0,False
0,0.76,0.24,0.8555,False
0,0.682,0.318,0.8625,False
0,0.789,0.211,0.9349,False
0,0,0,0,False
0,1,0,0,False
0,0.903,0.097,0.5574,False
0,0.852,0.148,0.6597,False
0.121,0.879,0,-0.7757,False
0.063,0.817,0.12,0.658,False
0,0.417,0.583,0.4215,False
0,0.901,0.099,0.3182,False
0.19,0.81,0,-0.6939,False
0.194,0.674,0.132,-0.4563,False
0,0,0,0,False
0,0,0,0,False
0,1,0,0,False
0.095,0.905,0,-0.7906,False
0,0.829,0.171,0.6792,False
0,0.641,0.359,0.9325,False
0,0,0,0,False
0.125,0.687,0.188,0.4847,False
0,0,1,0.4753,False
0.299,0.513,0.188,-0.3182,False
0.167,0.833,0,-0.7351,False
0,1,0,0,False
0,0,0,0,False
0,1,0,0,False
0.189,0.811,0,-0.6553,False
0,0.625,0.375,0.765,False
0,0.798,0.202,0.4201,False
0,0,0,0,False
0,0.875,0.125,0.8225,False
0,0.771,0.229,0.875,False
0.374,0.626,0,-0.9868,False
0,0,0,0,False
0,0,0,0,False
0,1,0,0,False
0.209,0.791,0,-0.8481,False
0,1,0,0,False
0,1,0,0,False
0,0,0,0,False
0,0.664,0.336,0.7964,False
0.175,0.725,0.1,-0.7184,False
0.261,0.664,0.075,-0.9325,False
0.317,0.683,0,-0.7783,False
0.121,0.7,0.179,0.5267,False
0.086,0.914,0,-0.5859,False
0,0.139,0.861,0.6369,False
0,0.736,0.264,0.6486,False
0,0,0,0,False
0,1,0,0,False
0,1,0,0,False
0.418,0.429,0.153,-0.9657,False
0,0,0,0,False
0.097,0.794,0.109,0.202,False
0.195,0.665,0.139,-0.6834,False
0,0.244,0.756,0.4754,False
0,0.89,0.11,0.6792,False
0,0.865,0.135,0.4939,False
0,0,0,0,False
0.209,0.664,0.126,-0.6288,False
0,1,0,0,False
0,0,0,0,False
0,0,0,0,False
0,0.671,0.329,0.9217,False
0,0,0,0,False
0,0.761,0.239,0.2235,False
0,1,0,0,False
0,1,0,0,False
0,0,0,0,False
0,0.645,0.355,0.765,False
0.211,0.789,0,-0.9001,False
0.1,0.682,0.217,0.8555,False
0,0,0,0,False
0,1,0,0,False
0,0.767,0.233,0.7494,False
0.147,0.768,0.085,-0.4563,False
0,0,0,0,False
0,0.545,0.455,0.3612,False
0,0,0,0,False
0,0.934,0.066,0.4939,False
0,1,0,0,False
0.083,0.847,0.069,-0.25,False
0,0,0,0,False
0,0,0,0,False
0,0,0,0,False
0,1,0,0,False
0,0,0,0,False
0.248,0.64,0.112,-0.7906,False
0,1,0,0,False
0.188,0.812,0,-0.6988,False
0,0.808,0.192,0.7506,False
0.118,0.746,0.136,0.2198,False
0,0.828,0.172,0.4404,False
0,0.832,0.168,0.8787,False
0.166,0.834,0,-0.8105,False
0,0.436,0.564,0.3802,False
0,1,0,0,False
0,0.606,0.394,0.9674,False
0.127,0.873,0,-0.6602,False
0,0.714,0.286,0.937,False
0,0,1,0.5859,False
0,1,0,0,False
0.308,0.551,0.141,-0.8231,False
0,1,0,0,False
0.137,0.763,0.1,-0.4215,False
0.291,0.709,0,-0.8309,False
0,0,0,0,False
0,0.476,0.524,0.765,False
0,1,0,0,False
0.149,0.7,0.151,0.0516,False
0,0.244,0.756,0.4754,False
0,0.68,0.32,0.765,False
0,0,0,0,False
0,0,0,0,False
0.066,0.55,0.384,0.9852,False
0.161,0.625,0.214,0.4184,False
0.058,0.785,0.157,0.7114,False
0,0,0,0,False
0.137,0.863,0,-0.7351,False
0.161,0.693,0.146,-0.2802,False
0,0.779,0.221,0.9042,False
0,0,0,0,False
0,0.877,0.123,0.765,False
0.139,0.861,0,-0.765,False
0,1,0,0,False
0,0.696,0.304,0.2924,False
0,0,0,0,False
0.132,0.713,0.155,0.3736,False
0,0.863,0.137,0.7351,False
0.11,0.727,0.163,0.5267,False
0,0.554,0.446,0.975,False
0,0,1,0.5859,False
0.209,0.727,0.064,-0.7897,False
0,0.9,0.1,0.6369,False
0,0.55,0.45,0.4753,False
0.048,0.952,0,-0.2023,False
0.063,0.701,0.236,0.9118,False
0,0,0,0,False
0,0.736,0.264,0.9325,False
0,1,0,0,False
0.464,0.536,0,-0.6369,False
0,0,0,0,False
0.199,0.712,0.089,-0.7906,False
0,0.821,0.179,0.8422,False
0.171,0.829,0,-0.7184,False
0,1,0,0,False
0,0,0,0,False
0,1,0,0,False
0,0.775,0.225,0.8555,False
0.121,0.584,0.295,0.9209,False
0,1,0,0,False
0,0,0,0,False
0,1,0,0,False
0,0.821,0.179,0.8906,False
0,0.824,0.176,0.6031,False
0,0.513,0.487,0.5859,False
0,0.684,0.316,0.5719,False
0,0,0,0,False
0.229,0.687,0.084,-0.5848,False
0.052,0.864,0.085,0.5514,False
0,1,0,0,False
0,0,0,0,False
0.195,0.805,0,-0.4404,False
0.168,0.723,0.109,-0.4588,False
0.154,0.846,0,-0.8316,False
0.119,0.716,0.165,0.6124,False
0,0,0,0,False
0,1,0,0,False
0,1,0,0,False
0.121,0.879,0,-0.7351,False
0,0,0,0,False
0.328,0.54,0.132,-0.8302,False
0,1,0,0,False
0.043,0.809,0.149,0.829,False
0,1,0,0,False
0,0.672,0.328,0.5994,False
0,0,0,0,False
0.274,0.571,0.154,-0.2732,False
0.043,0.855,0.102,0.4688,False
0.452,0.548,0,-0.6988,False
0,1,0,0,False
0,1,0,0,False
0.188,0.812,0,-0.4449,False
0.202,0.798,0,-0.5859,False
0,0.775,0.225,0.5411,False
0.494,0.506,0,-0.8689,False
0,0.839,0.161,0.5267,False
0,1,0,0,False
0,1,0,0,False
0,0.694,0.306,0.765,False
0.28,0.72,0,-0.8126,False
0,0,0,0,False
0,1,0,0,False
0,1,0,0,False
0,1,0,0,False
0,0.819,0.181,0.7506,False
0,1,0,0,False
