@relation sentiment_vector

@attribute negative numeric
@attribute neutral numeric
@attribute positive numeric
@attribute compound numeric
@attribute class {True,False}

@data
0.216,0.672,0.112,-0.34,False
0,0.957,0.043,0.0772,True
0.2,0.692,0.108,-0.296,True
0.163,0.786,0.051,-0.6908,True
0.193,0.651,0.156,-0.34,True
0.06,0.94,0,-0.3612,True
0.089,0.911,0,-0.1695,True
0,0.721,0.279,0.7988,True
0.224,0.727,0.048,-0.8658,True
0,0.8,0.2,0.7184,True
0.303,0.697,0,-0.8126,True
0.14,0.789,0.07,-0.34,True
0.15,0.85,0,-0.5574,True
0,0.912,0.088,0.4215,True
0.233,0.637,0.13,-0.5994,True
0,0.788,0.212,0.7351,True
0.19,0.724,0.086,-0.2914,True
0.178,0.822,0,-0.7296,True
0,1,0,0,True
0,1,0,0,True
0.276,0.619,0.105,-0.5574,True
0.085,0.607,0.308,0.9021,True
0.298,0.547,0.154,-0.6991,True
0.245,0.755,0,-0.9001,True
0.087,0.785,0.128,0.3818,True
0.128,0.872,0,-0.7783,True
0.054,0.856,0.09,0.1779,True
0.055,0.945,0,-0.4215,True
0.075,0.85,0.075,0,True
0,1,0,0,True
0,1,0,0,True
0.033,0.967,0,-0.128,True
0.25,0.75,0,-0.7906,True
0,1,0,0,False
0,0.892,0.108,0.4199,False
0.202,0.798,0,-0.5106,False
0.274,0.726,0,-0.9451,True
0,0.721,0.279,0.9081,True
0.165,0.791,0.044,-0.6771,True
0.082,0.871,0.047,-0.3013,True
0.106,0.894,0,-0.7269,True
0.061,0.939,0,-0.7096,True
0,0.902,0.098,0.5848,True
0.171,0.829,0,-0.6369,True
0,1,0,0,True
0,0.866,0.134,0.5859,True
0,0.82,0.18,0.8733,True
0.078,0.775,0.147,0.1779,True
0.153,0.847,0,-0.4215,False
0.026,0.827,0.147,0.8358,True
0.243,0.495,0.261,0.1027,False
0.144,0.856,0,-0.7739,True
0,1,0,0,False
0,1,0,0,False
0.309,0.691,0,-0.7003,False
0,1,0,0,False
0,0.915,0.085,0.4404,True
0.189,0.738,0.074,-0.4939,True
0.224,0.701,0.075,-0.866,True
0.219,0.651,0.13,-0.3612,True
0.046,0.815,0.139,0.5719,True
0.298,0.547,0.154,-0.6991,True
0,0.926,0.074,0.34,True
0.143,0.857,0,-0.802,True
0,1,0,0,True
0,0.849,0.151,0.7906,True
0,1,0,0,True
0.086,0.864,0.049,-0.2263,True
0,0.903,0.097,0.4019,True
0,1,0,0,True
0,0.884,0.116,0.2732,True
0.307,0.613,0.08,-0.8126,True
0,0.903,0.097,0.4215,True
0.298,0.702,0,-0.7667,True
0,0.85,0.15,0.7783,True
0.203,0.719,0.078,-0.8481,True
0.224,0.727,0.048,-0.8658,True
0.068,0.799,0.133,0.7227,True
0,1,0,0,True
0,0.907,0.093,0.6059,True
0.169,0.637,0.194,-0.0258,True
0,1,0,0,True
0.07,0.881,0.048,-0.0685,True
0,1,0,0,True
0.086,0.873,0.041,-0.4588,True
0,0.909,0.091,0.4215,True
0,1,0,0,True
0.054,0.946,0,-0.2235,True
0.262,0.738,0,-0.9081,True
0,0.886,0.114,0.5994,True
0,1,0,0,True
0,1,0,0,True
0.116,0.755,0.129,-0.128,True
0.245,0.634,0.121,-0.8402,True
0.073,0.833,0.093,0.1531,True
0.123,0.789,0.088,-0.296,True
0.054,0.884,0.063,0.1779,True
0,0.876,0.124,0.4767,True
0.173,0.717,0.11,-0.3612,True
0.121,0.879,0,-0.7469,True
0,0.948,0.052,0.2732,True
0,0.809,0.191,0.7096,True
0,1,0,0,True
0.057,0.943,0,-0.4767,True
0.052,0.847,0.101,0.296,True
0.134,0.64,0.227,0.1531,True
0,0.95,0.05,0.2023,True
0.086,0.914,0,-0.128,True
0,0.746,0.254,0.5267,True
0,0.941,0.059,0.3182,True
0.158,0.842,0,-0.128,True
0.145,0.855,0,-0.7003,True
0.143,0.649,0.208,0.25,True
0,0.541,0.459,0.8805,True
0,0.885,0.115,0.296,True
0,1,0,0,True
0.222,0.778,0,-0.5719,True
0,1,0,0,True
0.16,0.84,0,-0.5719,True
0,1,0,0,True
0,0.636,0.364,0.743,True
0.175,0.825,0,-0.4926,True
0,1,0,0,True
0,0.724,0.276,0.8807,True
0,1,0,0,True
0,0.71,0.29,0.6239,True
0.08,0.833,0.087,0.0516,True
0.137,0.863,0,-0.4003,True
0,0.714,0.286,0.5574,True
0,0.714,0.286,0.8402,True
0,0.646,0.354,0.9517,True
0,0.77,0.23,0.4574,True
0.098,0.902,0,-0.34,True
0.07,0.93,0,-0.34,True
0,0.784,0.216,0.6705,True
0,0.776,0.224,0.6705,True
0.182,0.682,0.136,-0.1531,True
0.038,0.847,0.115,0.5106,True
0.169,0.658,0.173,0.0258,True
0,0.769,0.231,0.5574,True
0.054,0.946,0,-0.4019,True
0,1,0,0,True
0,1,0,0,True
0,0.718,0.282,0.7424,True
0.075,0.925,0,-0.296,True
0,1,0,0,True
0,0.855,0.145,0.296,True
0,1,0,0,True
0.13,0.87,0,-0.3818,True
0,1,0,0,True
0,1,0,0,True
0,0.959,0.041,0.3804,True
0,1,0,0,True
0.091,0.909,0,-0.3447,True
0,0.806,0.194,0.7184,False
0.172,0.828,0,-0.9538,True
0.105,0.802,0.093,-0.5859,True
0.071,0.852,0.077,-0.0276,True
0,1,0,0,False
0.046,0.954,0,-0.5994,True
0.096,0.904,0,-0.5267,True
0.122,0.714,0.164,0.3818,False
0.472,0.528,0,-0.891,False
0.214,0.635,0.151,-0.3818,False
0.273,0.602,0.125,-0.4939,False
0,1,0,0,False
0,1,0,0,False
0.332,0.668,0,-0.9081,False
0,1,0,0,True
0.132,0.841,0.027,-0.9062,True
0,1,0,0,True
0.023,0.833,0.143,0.7351,True
0.188,0.717,0.095,-0.6059,True
0.214,0.786,0,-0.9022,True
0.049,0.847,0.105,0.4767,True
0.183,0.497,0.319,0.6369,False
0,1,0,0,False
0,0.901,0.099,0.296,False
0.176,0.255,0.57,0.9314,False
0.229,0.771,0,-0.8316,True
0.274,0.556,0.17,-0.5859,False
0,0.768,0.232,0.8858,True
0.203,0.772,0.025,-0.8979,True
0,1,0,0,False
0.108,0.892,0,-0.5719,True
0.041,0.959,0,-0.296,True
0.193,0.719,0.088,-0.5423,True
0.059,0.874,0.067,0.0679,False
0,1,0,0,True
0.054,0.946,0,-0.3595,True
0,1,0,0,True
0.152,0.848,0,-0.4144,True
0.158,0.842,0,-0.7184,True
0.102,0.831,0.066,-0.3182,True
0.162,0.838,0,-0.6597,True
0,0.926,0.074,0.4329,True
0,0.924,0.076,0.5719,True
0,1,0,0,True
0,0.807,0.193,0.8934,True
0,1,0,0,True
0,0.946,0.054,0.2732,True
0,1,0,0,True
0,1,0,0,True
0,0.821,0.179,0.8074,True
0.152,0.714,0.134,-0.1531,True
0.065,0.905,0.03,-0.3612,True
0,1,0,0,True
0.083,0.758,0.159,0.5139,True
0.111,0.889,0,-0.6597,True
0,0.703,0.297,0.7568,False
0.129,0.871,0,-0.7096,True
0.049,0.951,0,-0.2023,True
0,0.45,0.55,0.7269,False
0.091,0.909,0,-0.296,True
0,1,0,0,False
0,1,0,0,True
0,0.909,0.091,0.6908,True
0,1,0,0,True
0.229,0.618,0.154,-0.6705,True
0,1,0,0,False
0.057,0.697,0.246,0.837,True
0,1,0,0,True
0.086,0.853,0.061,-0.3071,True
0,1,0,0,False
0.153,0.802,0.044,-0.9197,True
0.292,0.708,0,-0.7351,False
0.417,0.583,0,-0.9186,False
0.212,0.531,0.256,0.34,False
0,1,0,0,False
0,0.828,0.172,0.4404,False
0,1,0,0,False
0,0.805,0.195,0.6794,False
0,0.808,0.192,0.6115,False
0.213,0.484,0.302,0.5574,False
0.083,0.856,0.061,-0.2263,True
0,0.924,0.076,0.5719,True
0,0.946,0.054,0.2732,True
0,0.735,0.265,0.6597,False
0.054,0.821,0.125,0.5499,True
0.041,0.959,0,-0.296,True
0,1,0,0,False
0.076,0.924,0,-0.4019,True
0.246,0.739,0.015,-0.9605,True
0,1,0,0,False
0.353,0.462,0.185,-0.4404,False
0.227,0.773,0,-0.6597,False
0,1,0,0,False
0,0.606,0.394,0.7579,False
0,0.606,0.394,0.7579,False
0,1,0,0,False
0,0.85,0.15,0.5267,False
0.132,0.868,0,-0.5267,False
0,1,0,0,False
0.517,0.212,0.271,-0.7003,False
0,1,0,0,False
0.315,0.685,0,-0.7172,False
0,1,0,0,False
0.328,0.672,0,-0.5267,False
0,0.938,0.062,0.4215,True
0.126,0.874,0,-0.6808,False
0,1,0,0,False
0.161,0.839,0,-0.7434,True
0.094,0.906,0,-0.3612,True
0.053,0.947,0,-0.3252,True
0,0.724,0.276,0.7906,False
0,1,0,0,False
0,0.857,0.143,0.4576,False
0.129,0.817,0.054,-0.5423,True
0,1,0,0,False
0,0.737,0.263,0.802,False
0.119,0.881,0,-0.4767,True
0,1,0,0,True
0,1,0,0,True
0,1,0,0,True
0,0.928,0.072,0.4019,True
0.157,0.843,0,-0.6908,True
0.039,0.961,0,-0.128,True
0.071,0.814,0.115,0.2263,True
0,1,0,0,True
0,1,0,0,True
0.155,0.789,0.056,-0.5423,True
0,1,0,0,True
0,0.914,0.086,0.1531,True
0.1,0.9,0,-0.4767,True
0.169,0.621,0.21,0.4019,True
0,1,0,0,True
0.188,0.812,0,-0.4588,True
0.37,0.63,0,-0.9517,True
0.146,0.854,0,-0.5574,True
0.109,0.685,0.206,0.4767,False
0.136,0.864,0,-0.296,True
0,1,0,0,True
0,1,0,0,True
0,0.822,0.178,0.7717,True
0,1,0,0,True
0,1,0,0,True
0,1,0,0,True
0,1,0,0,True
0.229,0.722,0.05,-0.7158,True
0,1,0,0,False
0,1,0,0,True
0,1,0,0,True
0,1,0,0,True
0.119,0.881,0,-0.3182,True
0.177,0.614,0.209,-0.1531,False
0.064,0.833,0.102,0.4767,True
0,1,0,0,True
0,0.888,0.112,0.5984,True
0,1,0,0,False
0,1,0,0,False
0,1,0,0,True
0.106,0.894,0,-0.3818,True
0.286,0.714,0,-0.5574,True
0,1,0,0,True
0,0.352,0.648,0.5696,False
0,0.927,0.073,0.2263,True
0,1,0,0,True
0,1,0,0,True
0.054,0.865,0.082,0.1779,True
0.107,0.867,0.026,-0.7506,True
0,1,0,0,True
0.094,0.906,0,-0.4019,True
0,1,0,0,True
0.111,0.805,0.084,-0.1759,True
0.04,0.96,0,-0.0572,True
0,1,0,0,True
0,0.924,0.076,0.34,True
0,1,0,0,True
0,0.839,0.161,0.5267,True
0.225,0.59,0.185,-0.5367,True
0.09,0.807,0.103,0.1779,True
0.134,0.811,0.055,-0.5531,True
0.076,0.864,0.06,-0.1531,True
0.072,0.842,0.086,0.1511,False
0,0.955,0.045,0.2023,False
0,0.82,0.18,0.5095,False
0,0.735,0.265,0.908,True
0.217,0.696,0.087,-0.7902,True
0.034,0.889,0.077,0.4215,True
0.157,0.843,0,-0.6369,True
0.217,0.56,0.222,0.0772,True
0.384,0.616,0,-0.3595,False
0,1,0,0,False
0.145,0.727,0.128,-0.18,False
0,0.896,0.104,0.4215,False
0,1,0,0,False
0.246,0.633,0.122,-0.7269,False
0.123,0.877,0,-0.4754,False
0,1,0,0,False
0.049,0.909,0.042,-0.0772,False
0.056,0.824,0.12,0.7003,True
0.171,0.794,0.035,-0.6822,False
0,0.805,0.195,0.7184,False
0.084,0.856,0.061,-0.2732,False
0.187,0.755,0.058,-0.7579,False
0.129,0.697,0.174,0.1295,False
0.33,0.67,0,-0.6597,False
0,1,0,0,False
0.091,0.865,0.043,-0.4497,False
0,0.941,0.059,0.3612,False
0,0.881,0.119,0.3182,False
0.154,0.667,0.179,0.4504,False
0.368,0.438,0.194,-0.4199,False
0,0.888,0.112,0.2263,True
0.142,0.858,0,-0.5106,True
0.205,0.665,0.13,-0.4215,True
0,0.833,0.167,0.2023,True
0.122,0.722,0.157,0.254,True
0,1,0,0,True
0,1,0,0,True
0.226,0.744,0.031,-0.8225,True
0.29,0.71,0,-0.5994,True
0.144,0.822,0.034,-0.5859,True
0.172,0.728,0.099,-0.2732,True
0.195,0.805,0,-0.4404,True
0,0.87,0.13,0.2023,True
0.355,0.645,0,-0.6597,True
0.219,0.781,0,-0.6369,True
0.084,0.8,0.116,0.3818,True
0.13,0.87,0,-0.2732,True
0.182,0.818,0,-0.6124,True
0.053,0.837,0.11,0.3612,False
0.297,0.541,0.162,-0.4588,True
0.096,0.734,0.169,0.3182,False
0,0.752,0.248,0.3182,True
0.173,0.827,0,-0.3182,True
0.225,0.775,0,-0.4939,True
0.239,0.761,0,-0.765,True
0.141,0.802,0.057,-0.5632,True
0,0.784,0.216,0.296,True
0.307,0.693,0,-0.4767,True
0,1,0,0,True
0.199,0.801,0,-0.4559,False
0.097,0.903,0,-0.4767,True
0.217,0.783,0,-0.3612,True
0,0.889,0.111,0.3612,True
0,1,0,0,True
0,1,0,0,True
0.034,0.966,0,-0.0644,True
0,1,0,0,True
0.026,0.915,0.059,0.4939,True
0,1,0,0,True
0,0.928,0.072,0.4019,True
0.078,0.712,0.21,0.5719,True
0.058,0.641,0.301,0.8142,True
0,1,0,0,True
0.133,0.736,0.131,-0.0346,True
0.202,0.702,0.096,-0.296,True
0,0.758,0.242,0.4926,False
0.074,0.926,0,-0.0516,True
0.389,0.611,0,-0.6249,True
0,1,0,0,True
0,1,0,0,True
0.228,0.611,0.161,-0.296,True
0.38,0.62,0,-0.7287,True
0,0.814,0.186,0.4939,True
0.138,0.791,0.07,-0.4215,True
0,0.909,0.091,0.3612,True
0,0.882,0.118,0.7082,True
0,0.625,0.375,0.6369,True
0.05,0.857,0.093,0.1943,False
0.182,0.818,0,-0.6114,False
0.105,0.847,0.048,-0.4767,False
0.243,0.55,0.207,-0.0258,False
0.07,0.93,0,-0.128,False
0,0.94,0.06,0.4588,False
0.141,0.804,0.054,-0.6124,True
0.049,0.921,0.029,-0.2273,False
0.036,0.964,0,-0.1695,False
0.033,0.712,0.256,0.8998,True
0,1,0,0,False
0,1,0,0,True
0.169,0.562,0.269,0.1531,True
0.155,0.845,0,-0.296,True
0,0.875,0.125,0.25,True
