@relation reaction_vector

@attribute like numeric
@attribute haha numeric
@attribute angry numeric
@attribute sad numeric
@attribute love numeric
@attribute wow numeric
@attribute class {True,False}

@data
58,34,0,1,3,0,False
98,48,0,1,4,1,False
27,27,1,1,0,0,True
155,63,0,0,2,0,False
106,126,0,2,0,0,False
24,34,0,0,0,0,False
17,20,0,2,1,0,False
381,260,0,0,7,2,False
147,176,0,0,0,0,False
335,195,0,0,6,0,False
487,331,0,0,2,0,False
156,67,0,0,1,0,False
328,242,0,0,4,0,False
218,206,0,0,3,0,False
376,219,0,0,6,0,False
407,341,0,1,6,0,False
272,165,1,1,1,1,False
177,121,0,0,2,0,False
62,65,0,0,1,1,False
142,176,0,1,6,12,False
30,20,0,0,1,0,False
347,146,0,6,2,1,False
148,136,0,0,2,0,False
35,23,0,0,2,1,False
242,148,0,0,4,3,False
69,27,0,1,0,0,False
44,63,0,0,3,4,False
99,32,0,0,0,0,False
537,383,0,0,6,1,False
333,120,0,0,3,1,False
149,56,0,0,1,0,False
312,202,0,0,4,1,False
40,14,0,0,0,0,False
37,0,9,0,0,1,True
217,127,0,0,34,6,False
45,46,0,0,0,0,False
6,9,0,0,0,0,False
25,37,0,0,0,0,False
152,227,0,0,15,7,False
33,97,0,0,6,3,False
142,31,0,1,3,0,False
119,169,0,0,5,6,False
22,5,0,0,2,0,False
26,8,0,2,1,0,False
79,128,0,0,0,1,False
92,105,0,0,1,0,False
101,149,0,1,4,11,False
73,63,0,0,2,5,False
193,154,0,0,11,13,False
23,22,0,6,0,2,False
147,86,0,2,3,1,False
18,24,0,0,1,0,False
304,151,0,2,3,1,False
340,153,1,0,5,2,False
33,46,0,0,0,0,False
171,206,0,0,10,8,False
36,19,0,0,0,0,False
519,324,1,4,6,0,False
67,58,0,0,0,0,False
281,359,0,0,1,0,False
36,40,0,0,1,3,False
783,709,0,0,14,0,False
149,75,0,0,2,1,False
3928,5742,3,1,121,102,False
38,38,0,0,1,0,False
127,64,0,0,1,0,False
31,22,0,0,0,0,False
123,130,0,1,2,0,False
298,179,0,0,2,1,False
297,207,0,0,6,0,False
70,77,0,0,3,9,False
103,50,0,2,1,0,False
53,91,0,0,2,0,False
144,104,0,0,1,0,False
30,75,0,0,1,4,False
202,196,1,1,1,0,False
63,13,0,0,5,0,False
590,675,0,0,8,1,False
243,145,1,7,3,1,False
71,244,0,0,3,1,False
96,84,0,0,5,22,False
1107,517,0,1,51,0,False
43,18,0,0,1,0,False
129,139,0,0,1,0,False
5,9,0,0,0,0,False
83,14,2,8,1,1,False
247,142,0,0,7,0,False
361,195,0,0,10,0,False
1535,928,0,0,72,1,False
408,310,0,1,3,0,False
33,0,2,0,0,0,True
10,4,1,1,0,0,True
29,3,2,0,0,1,True
86,36,0,0,1,0,False
280,248,1,0,8,0,False
386,395,0,1,7,0,False
21,16,0,0,0,0,False
391,330,0,0,8,3,False
18,9,0,0,0,0,False
221,160,0,0,2,1,False
191,140,0,0,9,0,False
82,81,0,0,5,13,False
922,1140,1,2,40,33,False
126,22,0,0,39,1,False
103,149,0,4,4,14,False
29,1,12,1,0,3,True
53,2,6,1,0,3,True
24,0,6,1,0,0,True
99,108,0,0,5,8,False
15,21,0,0,1,3,False
109,117,0,1,4,9,False
37,52,0,1,0,0,False
128,276,2,2,1,7,False
190,84,1,1,3,0,False
9,10,0,0,0,0,False
65,109,0,0,2,1,False
66,4,1,1,1,2,True
80,33,17,0,2,2,True
120,106,0,0,3,7,False
77,51,0,0,7,8,False
44,42,0,0,2,10,False
89,117,2,1,3,15,False
103,98,0,1,7,0,False
1861,868,4,4,191,7,False
32,43,0,0,1,2,False
95,185,0,0,2,1,False
93,195,0,0,6,0,False
52,85,0,0,1,0,False
181,360,1,0,2,5,False
49,81,0,0,0,0,False
29,16,0,0,2,1,False
219,273,3,99,4,11,False
522,1193,3,0,13,2,False
46,62,0,0,5,6,False
796,687,1,1,108,1,False
140,269,0,0,2,2,False
16,26,0,0,1,4,False
174,238,0,0,1,0,False
128,101,0,0,7,25,False
69,74,0,0,7,11,False
13,14,0,0,0,0,False
21,0,19,9,0,0,True
40,13,15,0,0,3,True
17,5,0,0,9,0,False
9,0,0,0,0,0,False
10,3,0,0,0,0,False
2,3,0,0,0,0,False
62,33,0,0,15,0,False
16,21,0,0,0,0,False
45,0,0,0,15,2,False
3,0,0,0,0,0,False
10,11,0,0,0,0,False
10,7,0,0,0,0,False
5,23,0,0,1,0,False
10,6,0,0,6,0,False
49,6,0,0,2,0,False
18,7,0,0,4,0,False
7,0,1,0,0,2,False
5,3,0,0,2,0,False
37,2,10,1,1,1,True
9,8,0,0,0,0,False
4,1,0,0,0,0,False
18,18,0,0,0,0,True
23,21,0,0,0,1,True
78,2,2,0,10,0,True
87,0,1,0,7,2,True
51,46,0,0,0,0,False
167,161,1,0,0,1,False
127,124,0,0,0,0,False
95,146,0,0,1,2,False
164,166,0,1,3,0,False
233,268,0,1,1,1,False
303,198,0,0,7,2,False
182,161,0,0,3,0,False
14,6,0,0,0,0,False
38,45,0,0,0,0,False
90,66,0,0,2,0,False
114,110,0,0,5,0,False
228,150,0,0,3,5,False
239,110,2,0,2,0,False
244,284,0,0,3,0,False
9,8,0,0,1,0,False
143,118,0,0,0,0,False
55,32,0,0,1,0,False
272,347,0,0,7,0,False
41,33,0,0,0,0,False
59,74,0,0,0,0,False
47,56,0,0,0,0,False
39,30,0,0,1,0,False
849,41,19,2,175,4,True
1088,82,17,1,215,3,True
775,41,287,17,171,6,True
867,28,7,3,224,2,True
4509,543,80,17,950,24,True
1635,188,50,7,313,4,True
336,54,1,14,35,1,True
2118,100,46,5,464,9,True
557,60,3,2,100,4,True
772,206,101,14,126,11,True
18685,13013,20656,1423,1824,541,True
8841,356,12,6,146,30,True
1700,61,10,0,516,0,True
456,42,372,113,10,34,True
3253,322,57,8,610,15,True
979,36,11,0,189,4,True
282,91,1,0,26,8,True
53,65,0,0,0,0,False
1582,14,2,2,581,1,True
40,62,0,0,1,0,False
69,68,0,0,2,0,False
688,53,2,0,117,0,True
226,161,0,0,1,0,False
1003,248,29,257,48,18,True
130,74,0,0,0,0,False
309,3,12,121,25,9,True
417,3,186,320,28,19,True
287,10,88,145,18,14,True
88,126,0,0,0,0,False
4038,123,53,8,701,26,True
6,6,0,0,0,0,False
568,142,0,0,1,1,False
1495,41,9,53,16,596,True
297,11,3,1,31,0,True
23,16,0,0,0,0,False
322,46,6,18,15,63,True
43,31,0,0,2,0,False
2659,44,22,5,618,10,True
492,1,876,170,13,24,True
1979,22,9,1,562,3,True
155,35,0,0,1,0,False
1032,285,8,8,4,194,True
2720,94,15,3,502,14,True
803,117,29,2,157,2,True
836,3,8,495,7,30,True
444,70,9,1,59,2,True
681,25,6,0,107,2,True
812,64,6,1,6,10,True
3255,5,1,7,727,7,True
951,560,12,50,14,371,True
280,169,4,3,17,7,True
4,3,0,0,0,0,False
4679,6,2,3,64,25,True
5,10,0,0,0,0,False
2482,9,1,0,52,19,True
57,58,0,0,0,1,False
6,11,0,0,0,0,False
1944,699,15,17,43,372,True
1453,47,3,3,440,1,True
57,49,0,0,0,1,False
93,65,0,0,0,1,False
150,1,37,76,10,6,True
209,25,5,90,14,76,True
19,5,0,0,0,0,False
310,41,1,0,63,1,True
47,31,0,0,0,0,False
168,1,70,81,29,2,True
4,0,0,0,0,0,False
316,41,10,1,46,4,True
226,2,0,167,16,63,True
116,0,0,191,13,2,True
154,2,2,28,8,25,True
9,9,0,0,0,0,False
943,44,15,14,8,545,True
298,238,23,73,3,80,True
994,555,39,350,17,96,True
11127,28,3,12,241,733,True
1464,1612,7,7,19,568,True
5108,16,2,2,416,6,True
2195,227,3,4,381,7,True
73580,66,2,591,20335,475,True
382,36,0,1,23,9,True
593,3,1,167,10,34,True
171,135,8,30,1,13,True
596,218,8,9,8,30,True
197,4,10,61,0,24,True
452,23,180,144,23,4,True
201,106,8,5,3,27,True
6405,7,0,1,430,85,True
290,15,3,7,1,97,True
2563,5,0,1,514,390,True
11285,11,19,2868,77,29,True
225,90,1,5,4,29,True
2319,179,31,189,15,53,True
662,3,0,346,10,7,True
351,12,1,1,4,83,True
203,199,1,2,0,29,True
207,81,7,6,1,52,True
409,16,60,4,41,17,True
7324,15,1,624,55,52,True
1080,47,1441,2089,29,70,True
247,14,68,11,14,6,True
468,41,0,1,8,63,True
281,133,33,12,3,43,True
288,26,1,0,36,9,True
212,41,1,1,22,10,True
4491,74,1,34,58,8,True
108,5,44,3,3,36,True
960,9,0,5,81,216,True
304,4,5,1,35,3,True
6196,11,0,8,169,15,True
190,31,2,0,12,10,True
1396,18,4,5,57,729,True
6372,9,1,1183,133,9,True
695,1026,3,4,56,8,True
262,112,9,2,54,2,True
250,6,2,0,35,3,True
120,12,13,8,25,19,True
454,2,1,923,24,27,True
309,21,224,98,17,56,True
823,1,0,13,232,5,True
182,45,3,10,11,8,True
287,10,0,132,9,99,True
187,1,4,76,6,28,True
249,33,2,5,7,80,True
677,11,1278,873,6,112,True
6331,73,2,5,719,75,True
187,1,0,4,6,4,True
171,17,6,28,1,7,True
1019,4,3,11,49,2,True
2582,27,0,0,326,87,True
756,12,54,286,6,238,True
1682,303,43,16,12,323,True
251,3,0,162,3,13,True
872,37,60,132,3,458,True
250,17,235,134,3,10,True
1948,50,46,12,305,8,True
319,12,0,1,4,11,True
328,109,10,7,4,20,True
287,3,0,57,3,3,True
650,20,112,46,7,347,True
711,2,1277,1469,10,23,True
1138,11,1,1051,37,29,True
1315,12,3,594,32,19,True
4741,434,386,44,31,150,True
329,9,367,246,6,10,True
3291,1,0,3,695,4,True
15468,24,0,5,2251,87,True
506,13,22,14,4,312,True
655,143,8,69,11,23,True
6092,8,0,1,57,21,True
423,202,17,3,13,9,True
2541,911,663,58,28,128,True
273,40,4,5,1,30,True
1891,184,15,890,53,653,True
3802,282,34,13,30,43,True
7148,13,0,1,602,26,True
161,23,112,2,8,8,True
222,104,78,12,1,164,True
942,2,6,8,142,7,True
167,5,0,18,2,52,True
538,7,66,646,14,13,True
4231,41,2,2,56,14,True
4260,39,1,0,121,8,True
224,4,38,51,22,115,True
3296,89,0,2,532,44,True
192,9,1,40,29,89,True
2920,4,2,15,358,45,True
4924,2,0,9,682,9,True
1878,189,26,64,63,361,True
2181,8,7,2,69,161,True
148,3,6,15,27,7,True
356,1,1,1257,39,31,True
7938,42,2,2,153,33,True
281,4,83,16,0,56,True
3766,217,32,5,43,13,True
726,2,7,2054,20,12,True
467,5,8,9,5,63,True
537,8,7,13,4,110,True
519,5,0,0,65,1,True
5898,531,29,2096,123,1307,True
2585,43,11,66,33,708,True
4852,6,1,3,100,5,True
7920,2,2,3,188,64,True
261,88,3,1,2,14,True
592,6,0,10,78,7,True
257,7,0,2,2,2,True
4823,4,0,22,280,22,True
1880,2,2,2363,152,6,True
6221,32,0,2,59,9,True
697,18,28,97,78,7,True
2895,170,11,5,28,7,True
410,3,2,146,12,77,True
843,3,3,1225,17,8,True
542,7,0,628,6,39,True
2567,170,13,1,23,7,True
1124,2,6,598,14,222,True
172,4,0,3,5,2,True
1704,5,7,3640,59,30,True
352,14,0,5,3,170,True
2922,5,1,1,230,4,True
181,16,1,0,4,29,True
219,0,0,3,24,2,True
3243,51,1,0,34,11,True
84,0,76,36,0,5,True
151,1,1,6,1,21,True
159,17,3,0,9,4,True
68,19,11,0,2,6,True
101,5,38,33,3,1,True
165,12,1,1,2,3,True
74,3,33,7,26,1,True
226,2,5,103,2,13,True
202,39,48,13,3,16,True
224,8,5,2,1,6,True
285,3,1,2,2,2,True
358,2,120,116,5,19,True
349,3,5,256,5,10,True
672,2,1,159,4,95,True
272,64,1,1,3,5,True
475,355,37,17,92,34,True
671,6,5,859,5,119,True
559,1,0,9,98,4,True
310,72,11,110,30,10,True
332,5,72,38,8,9,True
10496,51,64,42,630,19,True
2383,208,2,2,25,6,True
3603,37,13,8,36,17,True
8809,28,1,29,109,52,True
380,5,5,285,13,14,True
6667,22,2,2,93,14,True
12723,14,1,1,159,13,True
941,4,1,0,57,1,True
9302,15,2,2,173,314,True
236,6,1,4,25,1,True
2994,18,11,3,337,4,True
426,62,2,3,12,10,True
247,3,0,98,12,12,True
433,6,3,261,11,67,True
407,38,9,14,6,45,True
218,6,105,156,7,2,True
271,9,2,0,7,1,True
657,66,1,2,7,8,True
1259,23,3,2,165,4,True
247,51,2,2,9,6,True
3468,35,8,1,568,5,True
329,97,7,3,8,12,True
332,1,0,0,9,4,True
27608,20,5,1,5384,654,True
314,0,10,268,6,22,True
265,35,3,2,6,4,True
205,0,0,6,7,4,True
1115,2,0,0,177,30,True
270,7,0,1,49,1,True
188,14,0,0,7,9,True
113,12,0,4,11,2,True
415,1,0,0,97,10,True
139,23,20,6,9,2,True
151,0,2,121,2,2,True
259,171,35,3,17,5,True
134,52,56,3,4,1,True
72,34,27,0,3,1,True
1686,123,1,0,235,63,True
194,9,0,0,7,3,True
1378,1,0,4,380,100,True
638,124,6,4,7,111,True
314,2,1,0,97,2,True
721,15,2,2,6,2,True
147,0,1,0,3,1,True
398,114,27,5,7,91,True
1371,317,12,6,74,6,True
1795,2,0,1,379,67,True
812,157,6,2,85,11,True
504,0,0,2,127,17,True
3376,25,24,15,488,10,True
371,1,0,3,61,5,True
250,46,1,1,22,0,True
533,5,0,0,32,60,True
146,5,1,11,9,1,True
459,5,5,0,44,1,True
202,0,0,1,40,7,True
204,7,3,2,40,1,True
313,541,3,5,11,2,False
295,523,0,1,6,3,False
161,341,3,0,1,3,False
101,195,1,0,0,1,False
265,354,0,0,11,1,False
140,288,0,0,1,0,False
747,584,3,7,13,2,False
184,199,4,1,5,0,False
73,47,0,10,0,1,False
235,121,2,44,2,4,False
79,76,0,0,2,1,False
331,523,0,1,9,1,False
494,336,1,12,2,3,False
42,80,0,0,1,0,False
48,60,2,0,1,0,False
52,30,1,2,1,0,False
279,424,0,12,4,4,False
227,168,0,8,5,4,False
309,490,2,1,4,7,False
453,883,0,0,11,2,False
1006,1444,6,3,28,4,False
85,150,2,0,0,2,False
407,665,2,29,17,5,False
797,1086,3,6,15,6,False
68,59,6,3,1,21,False
194,244,1,4,4,1,False
83,100,1,4,0,0,False
1116,1000,0,15,9,14,False
285,398,0,1,5,2,False
703,1049,6,9,8,59,False
1098,2471,13,8,33,21,False
126,113,0,4,2,2,False
257,295,0,0,26,1,False
73,105,0,0,2,0,False
76,220,0,0,1,0,False
49,35,2,0,3,3,False
160,5,16,25,2,1,False
137,61,3,19,0,1,False
34,32,0,4,0,0,False
49,3,0,0,5,1,True
436,370,0,1,41,8,False
123,60,0,1,2,6,False
628,216,1,6,154,38,False
109,24,0,1,22,6,False
162,96,0,0,9,3,False
106,80,1,0,5,6,False
288,138,0,6,53,5,False
23,12,0,1,7,1,False
9,0,0,0,4,2,False
882,470,0,2,100,25,False
258,97,0,0,41,4,False
31,3,0,0,3,7,False
1234,1571,4,112,52,58,False
389,257,0,0,70,14,False
54,26,0,2,1,1,False
3448,3185,0,6,236,34,False
144,81,1,0,10,15,False
111,67,1,1,14,2,False
154,142,4,1,5,6,False
200,77,1,3,47,5,False
71,34,0,0,4,3,False
391,253,0,0,24,9,False
1153,739,1,3,57,28,False
104,59,0,0,10,11,False
144,89,0,0,6,4,False
5057,6034,34,58,226,40,False
185,110,0,0,12,8,False
67,18,1,0,5,1,False
127,89,0,2,7,9,False
444,287,0,0,24,8,False
194,55,0,0,20,2,False
212,133,0,1,25,4,False
120,49,1,1,2,10,False
37,36,0,0,9,0,False
447,246,0,1,41,19,False
39,30,0,0,1,0,False
107,51,0,0,12,1,False
256,166,0,0,10,17,False
146,135,0,7,8,18,False
166,96,0,0,7,2,False
473,140,1,1,86,6,False
76,20,0,0,5,0,False
1516,859,28,264,42,17,False
32,29,0,9,0,1,False
275,249,1,0,15,10,False
179,42,0,0,28,2,False
421,187,0,0,77,2,False
206,137,2,3,4,8,False
603,229,0,2,145,25,False
53,44,0,0,2,2,False
708,418,1,8,80,12,False
238,279,0,2,7,16,False
156,89,0,0,23,11,False
21,5,0,0,0,0,False
161,228,1,38,4,3,False
58,24,0,0,3,2,False
1900,1570,6,9,109,59,False
22,9,0,0,3,0,False
98,47,0,1,3,13,False
250,359,1,1,18,4,False
29,7,0,0,4,1,False
154,167,0,0,6,4,False
143,70,0,0,7,4,False
59,15,0,0,13,1,False
45,15,1,6,0,2,False
809,456,2,1,47,78,False
517,450,0,0,64,6,False
49,35,0,0,4,1,False
163,142,0,2,9,9,False
466,267,0,1,14,12,False
1422,1659,5,0,70,232,False
116,43,0,0,18,2,False
68,31,0,0,6,0,False
54,39,0,0,8,1,False
103,83,1,16,2,3,False
606,463,1,3,27,7,False
20,22,0,0,5,0,False
368,307,0,18,22,16,False
652,607,1,39,40,18,False
22,5,0,0,0,0,False
166,101,0,1,25,2,False
508,669,2,2,30,12,False
332,217,0,0,16,10,False
350,313,1,0,28,23,False
124,110,0,1,5,7,False
46,28,0,0,12,0,False
242,108,0,3,8,3,False
466,118,5,69,16,4,False
377,273,0,0,47,2,False
54,24,0,0,10,1,False
763,472,0,0,90,9,False
193,179,1,3,40,8,False
150,169,0,2,9,7,False
142,95,0,1,10,1,False
47,24,1,0,9,0,False
212,99,0,1,14,4,False
1027,532,0,2,61,10,False
45,23,1,0,1,0,False
293,182,0,1,18,48,False
134,57,0,1,10,35,False
135,96,0,0,25,3,False
30,23,0,1,3,0,False
55,26,0,33,3,2,False
160,186,0,0,17,12,False
2794,1945,7,2,501,30,False
186,69,1,6,11,12,False
31,8,0,0,7,0,False
434,543,0,10,15,11,False
138,57,0,72,9,8,False
14,12,0,0,1,0,False
1488,1102,3,6,172,17,False
248,143,1,2,9,14,False
268,62,0,1,60,13,False
320,188,1,39,10,4,False
587,697,0,4,32,25,False
402,190,4,9,52,65,False
543,283,0,0,18,7,False
360,431,3,1,86,10,False
1329,1091,0,3,153,12,False
151,80,0,0,11,5,False
30,12,0,0,6,0,False
1329,865,6,258,53,72,False
436,304,2,3,16,10,False
252,163,0,2,11,59,False
136,101,0,0,8,0,False
1129,703,2,1,145,28,False
103,83,0,6,8,14,False
302,148,1,1,50,5,False
287,184,0,0,20,1,False
76,39,0,0,23,1,False
595,453,0,96,18,18,False
212,135,0,0,7,3,False
595,547,0,4,50,27,False
86,72,0,1,6,11,False
52,39,0,1,7,0,False
339,311,0,4,15,5,False
20,16,0,1,1,0,False
151,162,0,0,24,15,False
43,50,0,0,2,1,False
167,122,0,1,23,2,False
298,189,0,0,17,9,False
62,74,0,0,15,2,False
353,184,4,9,37,17,False
22,9,0,1,6,1,False
373,228,1,74,13,9,False
684,357,3,6,23,17,False
996,969,0,2,46,13,False
167,59,0,0,30,12,False
98,47,0,1,7,14,False
1423,1442,9,3,88,50,False
216,165,0,2,19,15,False
303,247,8,6,15,2,False
89,65,0,0,2,6,False
340,204,0,2,16,8,False
541,540,1,3,94,12,False
389,274,1,2,9,6,False
27,16,1,0,3,1,False
161,64,3,1,18,12,False
76,36,0,0,13,4,False
58,24,0,0,2,1,False
358,221,0,0,98,5,False
25,31,2,1,0,1,False
122,55,0,0,16,5,False
1340,749,0,1,200,24,False
100,55,1,0,6,0,False
30,20,0,1,1,0,False
367,200,0,3,22,97,False
612,621,0,0,33,11,False
98,82,0,4,6,4,False
1122,554,0,2,84,7,False
153,152,0,0,16,2,False
469,263,8,5,29,100,False
68,51,0,74,6,3,False
928,900,0,2,30,23,False
94,74,0,0,13,2,False
79,47,0,0,2,2,False
254,250,2,116,5,9,False
261,148,0,0,13,15,False
476,365,0,5,38,16,False
91,100,0,0,5,1,False
112,73,0,0,7,0,False
197,112,1,4,6,5,False
276,117,1,10,9,7,False
257,133,0,1,9,3,False
22,9,0,0,0,1,False
354,395,0,0,32,9,False
178,99,0,9,8,6,False
240,136,10,2,17,57,False
28,15,0,0,0,2,False
823,600,0,1,114,11,False
474,258,0,0,83,12,False
96,101,4,1,2,3,False
143,108,0,0,9,1,False
384,189,1,1,13,8,False
52,32,0,0,2,0,False
210,114,4,1,10,22,False
25,7,0,0,1,0,False
145,109,0,0,6,4,False
103,45,1,0,19,2,False
191,111,0,0,22,5,False
102,51,0,0,7,1,False
25,36,0,4,3,0,False
19,14,0,0,1,3,False
111,71,0,1,6,17,False
354,379,1,5,15,12,False
142,80,0,1,16,1,False
384,128,0,2,107,9,False
103,68,0,0,16,1,False
695,422,1,4,52,11,False
80,38,0,1,13,0,False
379,138,0,1,45,0,False
99,134,0,0,4,0,False
82,164,0,0,1,0,False
23,26,0,0,0,0,False
22,44,0,0,0,1,False
60,153,0,1,2,0,False
398,530,2,1,20,28,False
24,36,0,5,1,2,False
80,234,0,2,1,1,False
123,210,0,1,1,0,False
36,69,0,0,2,0,False
71,145,0,0,2,0,False
272,669,1,1,4,0,False
758,1449,1,5,20,11,False
987,1530,0,0,27,3,False
1550,2129,3,2,20,4,False
287,619,0,0,4,2,False
337,99,6,225,4,10,False
3,3,0,0,0,0,False
170,265,0,8,2,5,False
66,128,0,0,1,1,False
8,24,0,0,0,0,False
79,98,0,0,0,0,False
279,387,0,0,4,0,False
17,9,0,0,0,0,False
127,303,0,0,0,0,False
168,104,1,2,7,0,False
28,36,0,0,0,0,False
39,122,0,0,1,0,False
15,23,0,0,0,0,False
38,75,0,0,1,0,False
103,175,0,0,1,0,False
18,36,0,0,0,1,False
13,25,0,0,0,0,False
355,662,0,1,1,7,False
32,66,0,0,0,0,False
62,94,0,0,0,0,False
91,200,0,0,1,1,False
14,23,0,0,1,1,False
21,32,0,0,1,0,False
23,21,0,0,0,0,False
68,172,0,0,1,0,False
37,74,0,0,1,0,False
38,90,0,0,1,0,False
176,205,0,0,3,0,False
30,60,0,2,0,2,False
1291,1758,0,0,39,3,False
132,306,0,2,4,0,False
50,144,0,0,2,0,False
18,24,0,0,0,0,False
206,743,0,0,8,2,False
92,170,0,1,1,0,False
359,1198,0,8,6,66,False
111,198,0,0,2,8,False
36,56,0,0,0,0,False
954,2507,0,1,26,11,False
13,8,0,0,1,1,False
267,460,0,0,11,1,False
97,163,0,0,1,1,False
165,196,0,0,11,1,False
56,47,0,0,2,0,False
302,727,0,0,7,2,False
10,15,0,0,0,0,False
11,15,0,0,0,0,False
7,7,0,0,0,0,False
33,98,0,0,0,0,False
34,59,0,0,2,0,False
612,1419,0,2,8,3,False
83,76,0,0,8,0,False
220,434,0,0,4,2,False
110,285,0,0,1,0,False
19,27,0,0,2,1,False
41,61,0,0,2,1,False
11,20,0,0,0,0,False
153,216,0,3,2,3,False
64,113,0,0,4,1,False
5,9,0,0,0,0,False
202,243,0,0,1,2,False
27,25,0,0,0,0,False
16,24,0,0,1,0,False
38,82,0,0,0,1,False
31,2,0,0,8,0,False
4,7,0,0,0,0,False
26,31,0,0,0,0,False
20,61,0,0,1,2,False
14,43,0,0,0,2,False
38,24,0,0,0,0,False
41,91,0,0,1,1,False
136,226,0,0,3,1,False
683,953,15,5,28,10,False
240,530,0,6,4,1,False
104,90,0,0,2,0,False
49,13,2,14,0,0,False
185,175,0,0,0,0,False
81,138,0,1,0,4,False
987,892,3,0,18,0,False
587,1433,1,3,21,6,False
112,115,0,1,0,0,False
79,169,0,0,0,0,False
62,18,0,0,2,0,False
139,193,0,0,10,0,False
16,2,0,0,2,0,False
56,0,0,0,4,0,False
311,236,4,1,27,0,False
12,2,0,0,1,0,False
55,216,0,1,2,3,False
157,180,0,1,0,0,False
104,138,0,0,1,0,False
208,185,0,1,2,1,False
203,333,0,0,1,0,False
122,142,0,0,4,0,False
60,31,19,3,0,0,False
29,0,0,0,3,0,False
427,848,1,2,2,0,False
77,36,0,0,5,0,False
152,94,2,0,0,0,False
38,44,1,1,0,0,False
207,206,0,0,4,1,False
661,1472,0,0,9,1,False
20,15,0,0,0,0,False
77,61,0,4,2,1,False
13,4,0,0,0,0,False
64,143,0,0,0,0,False
87,150,0,0,3,0,False
136,170,1,0,4,0,False
58,92,2,1,1,0,False
63,110,1,0,0,1,False
96,144,1,0,0,0,False
0,2,0,0,0,0,False
25,70,0,0,0,1,False
49,47,1,0,0,0,False
119,250,0,0,3,0,False
393,146,1,8,5,0,False
19,19,0,0,1,0,False
261,988,0,0,1,6,False
162,380,0,0,3,0,False
207,30,1,0,5,1,False
42,96,0,0,1,1,False
79,103,0,0,0,0,False
26,107,0,0,1,0,False
103,249,0,0,2,0,False
57,58,0,1,1,0,False
126,245,0,1,1,0,False
144,4,0,2,4,0,False
306,421,0,0,21,3,False
509,377,0,1,10,0,False
167,324,0,0,2,0,False
37,98,0,0,0,0,False
241,490,0,1,0,1,False
37,68,0,0,0,0,False
53,145,0,1,1,0,False
163,275,0,0,1,0,False
77,15,2,32,0,1,False
18,4,0,0,1,0,False
242,158,1,8,1,0,False
91,260,0,0,1,1,False
89,97,1,1,1,1,False
67,220,0,2,0,2,False
56,45,0,1,0,0,False
14,6,0,0,1,0,False
61,37,1,7,0,1,False
80,49,2,11,1,1,False
646,1781,0,0,6,2,False
131,87,0,1,4,1,False
52,59,0,0,0,0,False
201,324,1,2,5,1,False
33,18,0,0,0,0,False
312,167,3,2,1,4,False
36,12,0,0,1,0,False
1014,1473,0,0,48,2,False
120,130,0,0,0,0,False
204,57,2,1,1,0,False
108,229,0,0,5,0,False
34,5,0,0,3,0,False
64,94,0,0,0,0,False
117,173,1,1,1,0,False
172,73,2,3,1,0,False
101,155,0,0,0,1,False
75,94,0,0,1,0,False
70,33,0,2,0,0,False
126,160,1,0,2,0,False
27,0,0,0,2,0,False
88,169,0,0,2,0,False
99,69,0,1,6,0,False
231,360,0,0,4,1,False
51,81,1,0,1,0,False
30,114,0,0,0,1,False
103,29,0,0,13,0,False
40,44,0,0,1,0,False
139,193,0,0,1,0,False
58,103,0,0,0,0,False
124,178,0,0,2,0,False
238,522,1,1,5,2,False
109,139,2,0,0,0,False
43,53,1,0,1,0,False
182,238,0,0,2,0,False
314,719,0,0,2,1,False
217,447,0,1,3,1,False
175,368,0,3,0,4,False
26,30,0,0,0,0,False
23,2,0,0,6,0,False
361,434,0,0,8,0,False
416,551,3,7,8,2,False
13,6,0,0,0,0,False
63,93,0,0,1,0,False
48,125,0,0,0,0,False
285,398,1,0,8,1,False
63,60,0,0,0,0,False
81,116,0,2,0,0,False
46,95,0,0,0,0,False
48,47,1,0,1,0,False
39,68,1,0,2,0,False
152,227,0,0,6,0,False
25,7,1,0,0,0,False
86,159,0,1,1,3,False
6,1,0,0,0,0,False
31,45,1,0,2,0,False
44,116,0,3,0,0,False
56,63,0,2,1,1,False
216,148,0,4,3,1,False
65,66,2,2,2,0,False
76,61,1,1,0,0,False
81,65,0,1,2,0,False
200,559,0,1,4,6,False
392,752,2,3,4,3,False
336,411,0,0,9,1,False
58,43,0,1,0,0,False
153,165,0,0,0,0,False
155,314,0,0,1,2,False
93,108,0,0,2,2,False
382,387,0,1,2,1,False
87,114,0,0,3,0,False
166,291,0,0,0,2,False
43,23,0,0,1,1,False
885,1156,2,12,25,2,False
86,58,0,2,0,1,False
200,167,0,1,8,3,False
437,738,0,2,5,13,False
102,202,0,0,0,1,False
102,133,0,0,0,1,False
709,1110,0,1,20,2,False
355,573,0,1,7,1,False
1216,2182,2,0,51,6,False
36,23,0,3,0,0,False
95,122,0,0,1,1,False
172,160,0,0,2,1,False
220,234,0,0,4,4,False
287,185,0,1,2,1,False
310,334,0,10,4,1,False
280,285,1,2,3,2,False
357,393,0,0,4,0,False
122,59,0,0,9,0,False
19,21,0,0,1,0,False
378,409,2,2,7,4,False
19,35,0,0,0,0,False
255,260,0,0,6,0,False
41,60,0,0,0,0,False
120,77,5,3,0,2,False
628,814,1,8,11,3,False
45,36,0,0,0,1,False
43,64,0,0,1,0,False
