@relation reaction_vector

@attribute like numeric
@attribute haha numeric
@attribute angry numeric
@attribute sad numeric
@attribute love numeric
@attribute wow numeric
@attribute class {True,False}

@data
18,0,0,0,1,0,True
68,36,1,0,1,3,True
45,3,0,1,0,0,True
390,638,2,2,0,1,False
14,0,0,0,0,0,False
41,143,0,0,1,1,False
7,0,0,0,0,0,True
8,0,0,0,0,0,True
124,3,1,0,2,0,True
34,3,0,0,1,1,True
83,5,21,1,0,2,True
37,3,0,0,0,0,True
51,1,0,0,6,0,True
5,0,0,0,0,1,True
4,0,0,0,0,0,True
26,18,9,0,1,1,True
4,0,1,0,0,0,True
6,0,0,0,0,0,True
196,324,2,0,4,2,False
10,0,0,0,0,0,True
35,46,0,3,1,2,False
28,5,1,0,0,3,True
74,38,0,0,0,3,False
45,87,0,0,0,0,False
48,72,2,0,0,3,False
829,397,1,1,35,3,False
17,0,3,14,0,4,True
16,0,0,0,0,0,True
4,0,0,2,0,0,True
5,5,0,0,0,0,True
3,0,0,0,0,0,True
6,0,5,2,0,0,True
4,2,0,0,0,0,True
7,5,0,0,0,0,True
13,0,0,0,1,0,True
174,1,0,0,7,16,True
4,2,1,0,0,0,True
12,1,0,0,0,0,True
0,7,0,0,0,1,True
6,11,0,0,0,0,True
261,145,11,7,73,3,True
6,0,0,2,2,1,True
15,9,0,0,1,7,True
23,9,0,0,0,3,True
6,3,0,0,0,0,True
12,0,6,0,0,1,True
2,2,0,0,0,2,True
13,0,0,0,1,0,True
9,2,0,0,1,2,True
1,0,1,0,0,2,True
27,8,0,0,8,0,True
7,0,0,0,1,4,True
27,7,0,0,0,1,True
11,0,0,0,0,0,True
14,0,0,0,0,0,True
101,1,1,0,0,16,True
3,0,0,0,0,1,True
31,0,0,0,4,0,True
5,0,0,0,0,0,True
10,0,0,0,2,2,True
6,2,0,0,0,0,True
11,0,0,0,0,0,True
2,0,0,0,0,0,True
5,0,0,0,0,1,True
5,0,0,0,0,0,True
3,0,0,0,0,0,True
3,0,0,0,0,0,True
5,0,0,0,0,5,True
8,0,0,0,0,0,True
4,0,0,0,0,3,True
9,6,0,0,0,0,True
7,0,0,0,0,7,True
21,38,0,0,2,1,True
1,16,0,0,0,1,True
3,1,0,0,0,0,True
2,4,0,0,0,0,True
2,0,0,1,0,0,True
19,3,2,0,1,1,True
21,6,0,1,2,0,True
9,4,0,0,2,0,True
145,30,6,136,4,53,True
9,1,0,0,1,0,True
9,4,0,1,3,0,True
15,5,1,0,2,0,True
24,2,1,0,2,0,True
12,7,2,0,1,1,True
606,17,27,15,154,3,True
12,1,0,0,0,1,True
24,0,1,17,0,10,True
27,7,1,10,1,2,True
6,2,0,0,0,0,True
8,1,0,0,1,0,True
12,4,0,0,1,0,True
12,0,0,0,1,1,True
98,3,1,14,5,62,True
20,0,0,0,0,1,True
9,3,15,0,1,1,True
8,4,0,0,0,0,True
9,2,2,0,0,0,True
244,8,0,89,6,9,True
123,1,0,0,23,0,True
5,1,0,0,0,1,True
4,5,2,0,0,0,True
2,1,5,9,0,0,True
33,15,1,0,5,0,True
168,37,0,0,35,2,True
2,3,0,0,0,1,True
7,1,0,0,0,0,True
46,15,1,1,2,1,True
16,5,1,0,2,0,True
168,4,0,0,2,1,True
40,5,1,0,8,0,True
228,309,1,1,14,87,True
7,0,0,0,1,1,True
2,0,0,0,0,2,True
60,5,2,0,9,1,True
37,0,0,1,0,1,True
41,19,0,0,0,3,True
0,0,0,0,1,0,True
4,2,0,0,1,0,True
12,7,0,2,5,0,True
10,1,0,0,1,0,True
89,6,0,0,5,0,True
370,29,0,0,9,8,True
401,1041,0,0,7,3,False
24,3,1,0,1,1,True
13,6,1,3,0,1,True
6,0,0,0,0,0,True
587,1421,1,1,14,5,False
28,2,0,0,0,0,True
30,1,1,1,0,2,True
127,125,2,6,4,5,False
213,302,4,6,5,6,False
132,246,1,0,0,0,False
105,151,0,1,1,1,False
304,337,0,0,62,19,False
25,3,0,0,0,3,False
70,59,1,0,0,0,False
28,3,0,0,1,4,True
6,2,0,2,0,0,True
510,6,0,3,131,5,True
33,2,1,0,0,1,True
31,7,18,1,0,2,True
1,1,0,1,0,0,True
11,0,0,0,0,0,True
47,141,0,0,4,1,False
30,19,0,0,0,0,False
20,13,0,0,0,0,False
29,26,0,0,0,0,False
23,12,1,0,0,3,True
295,297,0,1,2,0,False
23,4,0,0,0,2,True
7,1,11,0,0,0,True
991,1653,0,7,13,4,False
18,2,3,0,0,0,True
9,3,0,0,0,0,True
4,0,0,0,0,2,True
183,275,0,1,6,29,False
4,0,0,2,0,1,True
15,9,0,2,2,1,True
35,11,0,1,0,1,True
0,4,0,0,0,0,True
3,0,2,2,0,0,True
10,1,1,0,0,1,True
2,0,0,0,0,0,True
29,4,0,0,0,5,True
28,3,0,1,0,0,True
24,0,0,0,1,0,True
14,15,0,0,0,1,True
5,0,0,0,0,0,True
31,10,0,0,0,1,True
3,0,0,2,0,0,True
40,20,0,0,0,0,True
21,0,0,0,0,0,True
18,0,0,1,0,1,True
3,0,0,0,0,0,True
5,0,0,0,0,0,True
6,0,0,0,0,0,True
14,1,11,1,0,5,True
223,198,0,0,38,29,False
1,0,1,1,0,0,True
7,1,0,0,0,0,True
75,95,0,0,0,1,False
16,1,0,0,0,9,True
54,53,0,0,0,0,False
2,1,0,0,0,1,True
2,1,6,0,0,0,True
13,5,4,0,1,1,True
1,0,0,2,0,0,True
44,65,0,0,0,0,False
17,19,0,0,2,0,True
5,0,0,0,0,2,True
4,1,0,0,0,0,True
162,167,0,0,1,1,False
3,0,0,0,0,0,True
32,60,1,1,0,0,False
65,102,1,1,1,1,False
137,137,0,0,3,0,False
30,35,0,0,0,0,False
172,179,1,0,7,16,False
303,537,0,3,2,1,False
78,92,0,0,0,0,False
12,2,0,0,0,0,False
60,87,0,0,0,3,False
12,9,0,2,0,0,True
15,3,0,0,0,0,True
28,1,0,0,0,0,True
26,22,5,0,1,0,False
