@relation post_all_vectors

@attribute like numeric
@attribute haha numeric
@attribute angry numeric
@attribute sad numeric
@attribute love numeric
@attribute wow numeric
@attribute negative numeric
@attribute neutral numeric
@attribute positive numeric
@attribute compound numeric
@attribute shares numeric
@attribute comments numeric
@attribute reactions numeric
@attribute images numeric
@attribute links numeric
@attribute nouns numeric
@attribute pronouns numeric
@attribute verbs numeric
@attribute numbers numeric
@attribute adjectives numeric
@attribute conjunctions numeric
@attribute adverbs numeric
@attribute person numeric
@attribute date numeric
@attribute org numeric
@attribute money numeric
@attribute gpe numeric
@attribute norp numeric
@attribute event numeric
@attribute words numeric
@attribute chars numeric
@attribute u_words numeric
@attribute u_chars numeric
@attribute sentences numeric
@attribute avg_word_length numeric
@attribute avg_sent_length numeric
@attribute class {True,False}

@data
2001,82,53,11,596,7,0,0.827,0.173,0.7717,178,633,2776,0,2,10,8,4,1,2,0,0,0,0,2,0,0,0,0,42,211,1,22,2,5,21,True
455,6,2,3,7,62,0.106,0.894,0,-0.2263,100,202,538,0,1,5,1,3,0,1,0,0,0,0,1,0,0,0,0,21,75,2,5,2,4,11,True
299,4,1,3,4,1,0,0.868,0.132,0.7269,87,119,313,0,2,5,7,4,3,3,0,2,0,2,2,0,1,0,0,51,201,1,20,4,4,13,True
1466,369,292,95,41,48,0,0.866,0.134,0.9485,604,1400,2318,1,4,22,21,11,7,13,0,4,2,4,1,0,2,1,0,138,578,0,26,5,4,28,True
1200,0,0,114,27,18,0.054,0.831,0.115,0.2732,159,513,1681,0,2,6,7,5,0,2,0,0,2,0,0,0,1,0,0,42,187,2,19,2,4,21,True
296,2,0,0,17,4,0,1,0,0,89,133,324,0,1,7,0,2,0,0,0,1,0,0,0,0,0,0,0,19,74,0,1,1,4,19,True
250,0,2,0,6,0,0.157,0.843,0,-0.8126,79,113,259,0,2,17,6,5,2,3,0,1,1,3,0,0,0,0,0,51,218,1,18,1,4,51,True
376,0,1,4,11,1,0.188,0.709,0.103,-0.5423,79,283,393,0,2,14,5,5,0,2,0,0,0,0,1,0,0,2,0,47,212,1,17,2,5,24,True
708,6,0,0,175,0,0,0.844,0.156,0.5719,146,254,907,0,1,4,0,4,0,3,0,1,0,0,0,0,0,0,0,23,89,0,2,2,4,12,True
1203,9,1,2,16,4,0.045,0.857,0.098,0.6677,95,236,1237,0,3,8,13,13,1,7,0,0,4,0,0,0,1,0,0,112,383,7,33,6,3,19,True
1580,348,96,6,172,7,0.047,0.91,0.043,0.1531,159,1600,2224,1,4,22,14,6,8,5,0,3,2,3,4,0,1,0,0,104,441,1,22,5,4,21,True
541,0,1,61,9,3,0.066,0.694,0.24,0.9231,75,189,654,0,3,14,15,7,0,2,0,2,4,1,3,0,0,0,0,84,335,3,37,4,4,21,True
574,72,17,4,58,1,0.049,0.951,0,-0.2732,60,265,728,0,2,5,10,6,0,2,0,2,2,2,1,0,1,0,0,49,233,3,28,3,5,16,True
501,0,1,20,10,1,0.211,0.789,0,-0.9231,60,152,563,0,2,15,11,4,3,2,0,0,4,1,1,0,2,0,0,62,271,1,26,4,4,16,True
285,6,0,1,13,0,0,0.725,0.275,0.9372,78,157,306,0,2,4,8,9,0,9,0,2,2,1,1,0,2,1,0,50,215,2,23,3,4,17,True
282,0,0,1,5,0,0.065,0.759,0.176,0.8503,60,130,290,0,3,22,6,15,0,10,0,3,1,1,0,0,0,2,0,112,502,1,21,4,4,28,True
379,3,0,0,9,14,0,1,0,0,78,141,406,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,20,54,0,2,2,3,10,True
489,249,12,1,12,3,0.079,0.921,0,-0.5213,74,527,776,0,2,9,17,6,2,2,0,1,3,2,2,0,2,0,0,72,287,3,35,5,4,14,True
360,0,0,11,16,2,0.393,0.566,0.041,-0.9764,63,140,415,0,2,14,6,5,0,3,0,0,2,0,1,0,0,0,0,49,206,3,19,2,4,25,True
420,3,0,1,15,10,0.138,0.472,0.39,0.7901,71,158,456,0,1,5,1,1,0,6,0,1,0,2,0,0,0,0,0,24,113,0,3,2,5,12,True
285,3,0,1,24,0,0.185,0.657,0.157,-0.6023,62,112,316,0,3,16,9,12,0,6,0,2,2,0,2,0,0,0,0,100,394,5,30,4,4,25,True
615,0,0,144,23,7,0.071,0.89,0.039,-0.6486,122,326,868,9,9,24,28,12,4,11,0,3,7,6,7,0,0,0,0,149,591,5,48,6,4,25,True
536,6,0,0,8,7,0.085,0.848,0.067,-0.2023,64,151,559,0,2,11,11,5,1,0,0,1,2,0,6,0,0,0,0,50,216,4,34,2,4,25,True
359,0,0,1,14,33,0.172,0.828,0,-0.4019,68,146,411,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,15,64,0,1,1,4,15,True
226,1,0,0,4,0,0.104,0.896,0,-0.768,48,106,231,0,2,16,16,5,1,1,0,2,2,2,2,0,1,0,0,70,306,2,31,4,4,18,True
368,18,0,1,15,0,0.136,0.745,0.119,-0.2263,59,160,402,0,3,10,10,5,2,2,0,1,1,0,4,1,1,0,0,58,257,4,37,3,4,19,True
3008,3,3,1793,150,29,0.097,0.794,0.109,0.2263,883,1700,6072,1,5,12,16,4,2,2,0,3,5,3,3,0,1,0,0,72,303,2,24,3,4,24,True
255,1,3,0,5,1,0.272,0.664,0.064,-0.8074,75,139,265,0,2,15,6,5,0,0,0,0,1,2,1,0,0,1,0,49,204,1,19,3,4,16,True
925,16,6,188,13,4,0.155,0.807,0.037,-0.946,162,599,1179,8,6,24,25,17,2,2,0,3,5,3,2,0,1,0,0,142,582,2,32,5,4,28,True
315,0,0,0,20,2,0.128,0.872,0,-0.296,65,84,340,0,1,5,0,2,0,0,0,1,0,0,0,0,0,0,0,17,84,1,1,1,5,17,True
605,13,29,105,11,16,0.27,0.705,0.026,-0.9398,61,184,794,0,2,18,4,6,2,2,0,4,0,2,2,0,0,0,0,71,281,1,18,4,4,18,True
1273,84,7,3,174,4,0.116,0.884,0,-0.5584,97,272,1557,0,2,7,12,4,0,3,0,2,3,0,1,0,0,0,0,54,215,1,28,2,4,27,True
230,24,1,0,6,0,0.039,0.732,0.228,0.9081,34,89,261,0,2,9,19,9,1,3,0,1,3,3,1,0,3,1,0,73,321,1,32,5,4,15,True
293,2,1,4,5,2,0,0.87,0.13,0.8885,80,124,308,1,3,24,9,12,4,5,0,4,0,1,1,0,1,0,0,109,417,2,16,5,4,22,True
724,12,2,1,17,64,0.094,0.835,0.071,-0.25,90,179,822,1,4,13,16,8,3,6,0,0,3,3,3,0,3,0,0,87,373,2,25,4,4,22,True
286,2,0,1,8,0,0.099,0.734,0.168,0.5106,56,89,300,0,2,8,3,9,0,6,0,2,0,1,0,0,0,0,0,43,213,3,19,2,5,22,True
865,2,7,7,19,6,0.387,0.613,0,-0.9618,81,157,908,0,2,6,10,6,2,5,0,1,2,1,0,0,2,0,0,45,201,1,21,3,4,15,True
571,0,0,0,42,0,0,1,0,0,126,175,617,0,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,18,53,0,2,3,3,6,True
304,0,4,2,6,3,0.143,0.8,0.056,-0.7717,57,99,320,1,4,16,7,11,4,2,0,3,1,1,1,3,2,0,0,97,402,2,16,6,4,16,True
334,0,0,1,7,1,0,1,0,0,75,73,343,0,1,2,4,0,2,1,0,1,0,1,1,0,0,0,0,19,72,0,7,1,4,19,True
3785,19,8,1,517,8,0.017,0.841,0.141,0.9262,243,469,4353,0,3,17,18,7,3,3,0,6,6,0,1,0,3,0,0,100,414,4,43,5,4,20,True
482,1,0,2,15,1,0.023,0.924,0.053,0.5267,79,208,509,4,7,21,21,9,1,9,0,4,5,1,1,0,4,0,0,129,549,0,29,7,4,18,True
682,0,0,1,93,11,0,0.759,0.241,0.807,157,175,793,0,1,8,0,3,0,1,0,2,0,0,0,0,0,0,0,29,112,0,2,2,4,15,True
991,6,1,1,70,17,0,0.95,0.05,0.2732,178,334,1088,0,2,9,12,5,0,0,0,1,0,0,5,0,0,0,0,48,175,1,23,3,4,16,True
544,1,0,4,19,3,0.042,0.883,0.076,0.5267,66,137,615,1,4,14,11,8,2,6,0,5,5,2,0,0,2,2,0,109,449,0,19,6,4,18,True
535,2,0,0,18,2,0,0.973,0.027,0.1027,58,136,560,0,2,19,4,9,0,2,0,1,1,0,3,0,0,0,0,71,311,4,26,3,4,24,True
80,0,2,0,0,2,0.12,0.806,0.074,-0.25,8,43,86,0,2,12,5,4,2,4,0,1,1,0,2,1,0,1,0,49,206,3,22,3,4,16,True
116,1,0,0,3,0,0.112,0.888,0,-0.4201,14,38,120,0,2,11,5,4,0,3,0,1,0,0,3,0,0,0,0,38,179,4,24,2,5,19,True
24,2,0,0,2,0,0,0.507,0.493,0.9382,2,2,28,1,3,4,0,3,0,7,0,0,0,0,0,0,0,0,0,26,127,1,3,2,5,13,True
23,0,17,3,0,1,0.157,0.816,0.028,-0.7845,9,17,44,0,2,10,10,7,1,3,0,3,0,1,1,0,1,0,0,59,255,2,27,3,4,20,True
24,3,0,0,0,2,0.03,0.84,0.129,0.7607,1,9,29,0,2,8,14,8,0,2,0,3,1,0,0,0,1,0,0,59,260,3,36,4,4,15,True
19,2,1,2,0,0,0.033,0.821,0.146,0.7269,1,15,24,0,2,10,13,6,0,4,0,0,0,0,3,0,1,0,0,54,303,3,32,3,6,18,True
30,1,16,6,0,2,0.076,0.869,0.055,-0.296,9,9,55,0,2,10,8,7,0,4,0,1,0,0,2,0,0,0,0,62,245,1,27,1,4,62,True
50,29,1,1,0,2,0,0.926,0.074,0.4019,4,50,83,0,2,3,12,3,1,2,0,3,2,1,2,0,0,0,0,43,209,1,28,3,5,14,True
18,4,1,0,1,0,0.084,0.83,0.086,-0.2023,0,7,25,0,2,18,42,6,0,4,0,3,1,0,6,0,1,4,0,107,491,5,43,5,5,21,True
27,0,0,0,0,0,0.056,0.902,0.042,-0.1114,1,15,30,0,2,15,40,9,0,8,0,2,0,0,2,0,1,2,0,115,579,3,40,8,5,14,True
119,51,38,4,3,3,0.141,0.804,0.054,-0.6124,69,403,218,0,2,11,9,2,0,6,0,0,2,0,1,0,0,0,0,48,228,2,25,2,5,24,True
33,0,1,0,2,1,0.133,0.736,0.131,-0.0346,6,3,37,0,2,8,13,6,0,4,0,0,0,0,3,0,0,0,0,49,280,2,35,3,6,16,True
21,3,0,2,0,1,0.026,0.915,0.059,0.4939,0,1,27,0,2,16,42,7,2,4,0,2,3,1,5,0,1,2,0,106,461,4,36,5,4,21,True
99,9,2,1,12,0,0.217,0.56,0.222,0.0772,12,62,125,0,3,9,12,6,0,3,0,1,1,0,0,0,1,0,0,49,248,4,40,2,5,25,True
40,1,0,0,0,0,0.157,0.843,0,-0.6369,7,13,46,0,3,5,7,4,1,1,0,1,0,1,2,0,0,0,0,36,159,4,33,3,4,12,True
51,1,0,0,6,0,0,0.902,0.098,0.5848,2,38,58,1,4,4,10,3,1,1,0,1,0,2,1,0,0,0,0,43,217,0,13,3,5,14,True
37,3,0,0,0,0,0.061,0.939,0,-0.7096,2,9,40,0,2,24,37,15,4,3,0,4,5,4,3,0,1,2,0,135,576,3,33,7,4,19,True
83,5,21,1,0,2,0.106,0.894,0,-0.7269,24,23,112,0,2,8,21,8,1,2,0,2,1,1,4,0,0,0,0,94,331,3,46,3,4,31,True
34,3,0,0,1,1,0.082,0.871,0.047,-0.3013,2,1,39,0,2,20,32,6,0,6,0,3,2,0,4,0,3,3,0,103,493,5,37,7,5,15,True
124,3,1,0,2,0,0.165,0.791,0.044,-0.6771,21,23,130,0,3,11,8,7,0,5,0,5,0,0,1,0,0,1,0,56,290,3,34,3,5,19,True
45,3,0,1,0,0,0.25,0.75,0,-0.7906,3,41,49,0,2,4,8,3,0,0,0,0,1,0,2,0,1,0,0,26,126,2,24,2,5,13,True
68,36,1,0,1,3,0.033,0.967,0,-0.128,9,57,109,0,2,9,13,4,0,5,0,1,0,0,1,0,0,0,0,52,284,2,29,3,5,17,True
18,0,0,0,1,0,0,1,0,0,3,2,19,0,3,3,34,3,0,0,0,0,1,0,6,0,3,0,0,46,262,2,19,2,6,23,True
19,0,0,0,0,0,0,1,0,0,2,0,19,0,3,8,36,4,0,1,0,0,3,0,6,0,1,0,0,59,320,2,19,3,5,20,True
32,0,0,0,1,0,0.054,0.856,0.09,0.1779,6,11,33,0,2,9,8,3,0,2,0,2,0,0,1,0,1,0,0,47,221,3,23,1,5,47,True
122,6,0,0,1,0,0.128,0.872,0,-0.7783,25,59,130,0,3,10,8,8,2,3,0,4,0,2,1,0,0,0,0,64,277,2,30,3,4,21,True
50,2,10,0,1,1,0.163,0.786,0.051,-0.6908,13,116,64,0,2,10,6,8,1,2,0,1,0,0,0,0,2,0,0,51,259,4,38,3,5,17,True
49,1,6,0,1,1,0.138,0.739,0.123,0.0334,2,10,58,0,2,12,6,5,0,7,0,3,0,0,1,0,0,0,0,58,286,5,39,3,5,19,True
30,14,1,0,0,0,0.199,0.801,0,-0.7351,5,52,45,0,2,4,12,3,2,2,0,1,1,1,0,0,2,0,0,38,194,1,25,2,5,19,True
67,10,22,2,0,1,0,0.939,0.061,0.4215,33,95,104,0,2,5,16,3,1,6,0,0,4,1,2,0,0,0,0,51,254,1,32,1,5,51,True
22,0,0,0,1,1,0.041,0.959,0,-0.296,1,0,24,0,2,6,36,3,0,2,0,1,4,0,5,0,0,1,0,62,295,1,18,3,5,21,True
79,14,2,3,0,2,0.102,0.849,0.049,-0.5267,20,36,100,0,2,10,20,4,0,2,0,3,3,0,3,0,0,0,0,69,320,1,37,3,5,23,True
7,0,0,7,0,0,0.26,0.74,0,-0.9413,0,3,18,0,2,5,9,11,1,4,0,1,3,1,0,0,0,0,0,61,268,1,27,4,4,15,True
47,0,0,0,1,0,0,0.961,0.039,0.0772,6,13,48,1,3,11,1,4,1,4,0,0,0,0,1,0,0,0,0,43,203,0,5,3,5,14,True
94,4,0,0,19,2,0,0.858,0.142,0.8316,18,33,122,0,2,12,4,7,1,7,0,2,0,0,0,0,1,0,0,65,288,1,17,3,4,22,True
42,1,0,0,0,0,0.232,0.608,0.16,0.0258,5,32,43,0,2,2,4,4,0,2,0,2,0,0,0,0,0,0,0,26,132,1,14,3,5,9,True
65,0,0,0,0,0,0.128,0.68,0.192,0.5994,4,10,65,0,2,8,9,9,0,1,0,2,1,0,0,0,1,0,0,56,272,1,23,4,5,14,True
42,142,35,2,7,2,0,1,0,0,22,176,230,0,2,6,16,5,2,3,0,0,2,2,0,0,1,0,0,55,255,1,30,2,5,28,True
61,0,0,0,1,0,0,0.863,0.137,0.6573,5,29,62,0,3,7,7,5,2,3,0,4,0,1,1,0,0,0,0,51,208,1,25,6,4,9,True
47,1,0,0,3,0,0,1,0,0,5,11,51,1,3,9,6,4,0,3,0,3,0,0,2,0,0,2,0,58,224,2,16,3,4,19,True
19,0,1,5,1,5,0.138,0.692,0.17,0.34,3,11,39,0,2,10,5,9,2,5,0,6,1,2,1,0,1,0,0,71,309,1,20,4,4,18,True
34,6,0,0,0,0,0.132,0.73,0.138,0.0813,11,26,40,0,2,13,7,7,0,2,0,1,1,0,1,0,1,0,0,59,279,3,29,3,5,20,True
154,2,0,0,3,1,0,1,0,0,20,108,160,0,2,6,2,4,0,1,0,1,0,0,0,0,0,0,0,29,141,1,17,2,5,15,True
1948,50,46,12,305,8,0.102,0.763,0.136,0.0516,90,932,2374,0,2,7,3,5,0,3,0,1,0,0,1,0,0,0,0,36,171,1,9,2,5,18,True
250,17,235,134,3,10,0.311,0.612,0.078,-0.872,51,430,652,0,2,7,4,5,1,4,0,1,1,0,0,0,1,1,0,34,172,1,11,2,5,17,True
872,37,60,132,3,458,0.435,0.565,0,-0.8689,125,320,1568,0,2,5,4,4,0,0,0,0,0,0,0,0,1,0,0,25,114,1,10,2,5,13,True
49,10,0,8,0,19,0.089,0.851,0.06,-0.128,10,58,88,0,2,15,8,6,1,2,0,2,1,0,0,0,3,0,0,57,259,2,24,3,5,19,True
68,25,2,0,7,2,0.036,0.83,0.134,0.6808,11,59,104,0,2,7,4,6,4,2,0,2,1,0,1,2,0,0,0,50,213,1,17,2,4,25,True
41,1,0,0,0,0,0,0.822,0.178,0.7906,9,23,42,0,2,10,7,6,0,4,0,1,0,0,1,0,1,0,0,46,239,2,26,3,5,15,True
250,83,0,0,10,1,0,1,0,0,20,175,345,0,3,7,18,6,2,0,0,0,3,0,3,0,1,0,0,67,263,2,38,4,4,17,True
251,3,0,162,3,13,0,0.895,0.105,0.5267,49,49,438,0,2,10,3,2,1,3,0,0,0,1,1,0,0,0,0,36,150,1,9,2,4,18,True
1682,303,43,16,12,323,0,1,0,0,145,554,2380,0,2,4,2,1,1,0,0,0,0,0,0,1,0,0,0,17,54,1,8,2,3,9,True
71,0,3,6,4,1,0.255,0.725,0.02,-0.9578,12,40,101,0,2,9,10,7,6,2,0,1,1,1,0,2,2,0,0,67,279,1,23,3,4,22,True
83,2,143,43,2,9,0.091,0.909,0,-0.5106,149,253,284,1,3,9,5,3,2,2,0,1,1,2,1,0,1,0,0,38,196,0,10,2,5,19,True
34,0,1,14,0,5,0.045,0.955,0,-0.2732,8,18,56,0,2,8,13,5,2,2,0,0,0,2,1,0,2,0,0,51,240,1,27,3,5,17,True
43,2,0,9,0,0,0.158,0.735,0.108,-0.6018,7,20,56,0,2,14,8,8,0,3,0,2,0,0,2,0,1,0,0,58,293,3,28,4,5,15,True
58,0,0,0,0,1,0,0.897,0.103,0.4588,5,27,59,0,2,3,8,4,1,0,0,1,0,0,3,1,0,0,0,36,166,1,18,2,5,18,True
476,2,1,0,105,2,0.107,0.767,0.126,-0.0752,30,73,590,0,3,10,14,4,2,2,0,2,1,2,4,0,0,0,1,71,291,3,40,4,4,18,True
756,12,54,286,6,238,0.145,0.645,0.21,0.0516,93,380,1377,0,2,4,2,3,0,1,0,0,0,0,0,0,1,0,0,20,74,2,10,2,4,10,True
2582,27,0,0,326,87,0,1,0,0,151,101,3028,1,3,1,9,1,0,0,0,0,0,0,1,0,0,0,0,24,99,0,10,2,4,12,True
72,8,4,0,6,0,0,1,0,0,9,39,90,0,2,3,9,6,0,2,0,0,0,1,2,0,1,0,0,33,150,4,27,3,5,11,True
36,1,6,24,1,10,0.326,0.632,0.042,-0.959,9,45,82,0,2,11,11,5,0,4,0,0,2,0,0,0,2,0,0,55,262,4,31,2,5,28,True
42,11,7,2,0,10,0.112,0.888,0,-0.7096,16,34,72,0,2,9,6,7,0,3,0,1,0,1,2,0,0,0,0,54,263,2,23,3,5,18,True
43,12,0,0,1,0,0.081,0.919,0,-0.5423,8,32,57,0,2,12,11,9,1,2,0,1,0,1,1,0,2,0,0,64,280,3,23,3,4,21,True
1019,4,3,11,49,2,0,0.904,0.096,0.5719,81,97,1096,0,2,4,11,2,2,1,0,0,3,2,0,0,1,0,0,43,191,0,12,2,4,22,True
171,17,6,28,1,7,0.152,0.848,0,-0.7096,17,18,234,0,2,8,7,5,2,1,0,1,2,2,0,0,1,0,0,40,178,1,12,2,4,20,True
187,1,0,4,6,4,0.276,0.724,0,-0.8834,18,77,220,0,2,10,4,3,1,2,0,0,1,1,1,0,1,0,0,36,160,2,11,2,4,18,True
6331,73,2,5,719,75,0,0.881,0.119,0.3182,375,452,7327,0,2,3,1,4,1,2,0,1,0,1,0,0,0,0,0,25,90,3,9,2,4,13,True
46,1,0,0,2,0,0.058,0.832,0.11,0.3612,10,24,49,0,2,8,8,5,1,2,0,1,1,0,0,0,0,0,0,49,213,2,25,3,4,16,True
70,1,0,2,0,2,0.152,0.804,0.044,-0.6705,18,49,75,0,2,17,8,3,0,8,0,0,1,0,1,0,1,0,0,61,289,2,24,3,5,20,True
266,81,1,14,31,12,0.044,0.956,0,-0.3182,19,304,417,0,3,16,6,5,2,2,0,0,3,2,0,0,0,0,0,67,264,2,26,3,4,22,True
48,0,0,0,0,1,0.067,0.933,0,-0.5267,8,45,49,0,2,13,10,4,2,5,0,0,2,0,0,0,0,0,0,59,283,2,26,3,5,20,True
4125,42,5,6,493,16,0.044,0.719,0.238,0.8658,379,1300,4692,0,2,12,5,5,0,1,0,1,0,0,0,0,0,0,0,51,199,3,22,2,4,26,True
677,11,1278,873,6,112,0,1,0,0,218,736,2991,0,2,3,2,3,1,0,0,0,0,1,0,0,1,0,0,21,72,2,9,1,3,21,True
249,33,2,5,7,80,0.167,0.833,0,-0.8481,48,93,381,0,2,4,16,6,0,0,0,0,2,1,3,0,0,0,0,48,211,3,25,2,4,24,True
78,32,4,3,2,2,0.166,0.706,0.128,-0.3182,7,135,121,0,2,10,11,6,0,4,0,0,1,0,1,0,2,0,0,57,244,2,25,3,4,19,True
127,8,1,8,4,1,0.23,0.708,0.062,-0.7812,10,94,174,0,3,4,9,6,0,3,0,1,3,0,0,0,0,0,0,38,195,2,28,2,5,19,True
2172,296,9,3,493,23,0,0.913,0.087,0.4588,308,1700,3016,0,2,7,8,2,3,6,0,1,0,0,0,0,0,1,0,65,244,1,27,3,4,22,True
82,12,0,32,1,4,0.259,0.741,0,-0.9442,17,93,154,0,2,9,7,3,0,4,0,4,0,1,2,0,1,0,0,60,255,1,23,4,4,15,True
59,5,1,0,3,0,0,1,0,0,6,85,68,0,2,5,8,5,1,1,0,2,0,1,2,0,1,0,0,46,189,1,24,2,4,23,True
66,2,0,0,3,0,0.052,0.872,0.076,0.101,7,28,71,0,3,6,12,6,0,4,0,4,2,0,2,0,0,0,0,66,250,1,29,4,4,17,True
187,1,4,76,6,28,0.352,0.648,0,-0.9451,37,70,305,0,2,6,2,7,2,1,0,0,0,0,0,0,1,0,0,35,153,2,9,2,4,18,True
2,0,0,1,0,0,0,0.95,0.05,0.2023,0,0,3,0,2,4,16,6,0,0,0,0,2,1,0,0,1,0,0,43,172,2,37,3,4,14,True
2,4,0,0,0,0,0.134,0.64,0.227,0.1531,0,0,6,0,2,2,5,2,0,0,0,1,0,0,1,0,0,0,0,20,79,1,19,1,4,20,True
3,1,0,0,0,0,0.052,0.847,0.101,0.296,0,0,4,0,2,4,7,2,0,1,0,0,0,0,0,0,0,0,0,28,105,1,19,2,4,14,True
60,3,1,0,1,2,0.16,0.79,0.051,-0.775,6,74,67,0,2,12,9,9,0,3,0,2,2,0,1,0,1,1,0,61,277,2,25,3,5,20,True
57,0,0,1,3,3,0,0.88,0.12,0.7506,13,24,67,0,2,8,14,8,1,1,0,0,0,2,1,0,2,0,0,54,270,1,27,3,5,18,True
72,4,0,9,1,1,0.195,0.748,0.057,-0.8788,8,90,92,0,2,13,6,5,0,6,0,2,0,0,0,0,2,1,0,70,271,1,21,4,4,18,True
493,0,2,1,48,11,0,1,0,0,53,85,560,1,3,1,4,1,0,0,0,0,2,0,0,0,0,1,0,9,58,0,7,2,6,5,True
1,16,0,0,0,1,0.057,0.943,0,-0.4767,1,2,18,0,2,11,7,6,2,3,0,3,2,1,0,2,1,0,0,64,220,2,22,3,3,21,True
21,38,0,0,2,1,0,1,0,0,9,16,62,0,2,2,13,4,1,0,0,0,3,1,0,0,0,0,0,39,153,1,28,2,4,20,True
7,0,0,0,0,7,0,0.809,0.191,0.7096,1,1,14,0,2,6,6,4,1,0,0,1,1,0,0,0,0,0,0,35,135,1,26,3,4,12,True
436,3,0,1,23,89,0.048,0.862,0.09,0.3182,29,41,560,0,2,10,11,3,3,5,0,0,2,3,0,0,1,0,0,57,247,1,23,3,4,19,True
197,27,28,1,23,2,0,0.894,0.106,0.5859,11,101,279,0,2,14,9,8,0,4,0,1,2,2,0,0,4,2,0,58,277,6,29,2,5,29,True
222,22,3,1,42,14,0.234,0.766,0,-0.8957,22,143,304,0,2,10,9,7,0,8,0,0,1,0,0,0,2,5,0,56,282,1,27,3,5,19,True
73,10,0,2,0,15,0.201,0.757,0.042,-0.7906,9,62,101,0,2,8,13,4,0,3,0,0,0,0,1,0,0,0,0,55,271,2,30,3,5,18,True
9,6,0,0,0,0,0,0.948,0.052,0.2732,0,0,15,0,2,4,10,7,2,3,0,0,0,0,1,0,0,2,0,47,183,4,27,3,4,16,True
4,0,0,0,0,3,0.121,0.879,0,-0.7469,0,0,7,0,2,6,5,6,0,0,0,4,2,1,0,0,0,0,0,51,155,3,27,3,3,17,True
8,0,0,0,0,0,0.173,0.717,0.11,-0.3612,1,1,8,0,2,10,2,9,0,7,0,1,0,0,1,0,1,0,0,58,248,1,16,5,4,12,True
146,2,0,25,3,7,0.224,0.492,0.284,0.3612,15,31,194,0,2,8,4,5,0,3,0,0,0,0,0,0,0,0,0,47,177,2,22,5,4,9,True
62,10,0,0,2,1,0,0.913,0.087,0.4215,16,25,75,0,2,8,6,7,0,5,0,1,0,0,0,0,2,0,0,54,245,4,21,2,5,27,True
80,0,0,97,5,2,0.08,0.896,0.024,-0.7703,9,26,222,0,3,25,17,4,4,6,0,2,3,5,1,0,2,1,0,110,436,2,37,5,4,22,True
7030,36,15,21,1683,115,0,1,0,0,613,563,8938,1,3,7,9,3,1,1,0,0,0,0,3,0,0,0,0,38,187,1,17,3,5,13,True
44,1,0,0,1,0,0.038,0.887,0.074,0.4091,6,18,46,0,2,13,9,5,0,3,0,0,4,0,1,0,0,0,0,52,254,1,26,3,5,17,True
149,2,0,0,1,1,0,0.669,0.331,0.8979,19,33,154,0,2,5,5,3,2,3,0,1,0,1,1,0,0,0,0,36,146,2,22,4,4,9,True
217,5,0,1,3,2,0.042,0.857,0.101,0.5719,23,120,228,0,4,21,15,14,1,8,0,5,2,0,2,0,0,2,0,119,546,1,35,4,5,30,True
47,0,0,8,1,2,0.138,0.753,0.109,-0.2617,3,16,60,0,2,9,12,5,1,3,0,4,3,2,0,0,0,0,0,74,289,2,26,2,4,37,True
48,3,3,22,1,1,0.083,0.857,0.06,-0.4203,18,105,80,0,3,25,8,12,8,13,0,10,0,7,1,0,1,3,0,137,562,3,31,5,4,27,True
84,1,0,0,2,0,0,0.707,0.293,0.8271,9,31,87,0,2,6,4,3,0,3,0,0,0,0,3,0,0,0,0,29,145,1,18,2,5,15,True
99,0,0,0,7,1,0,0.853,0.147,0.6908,13,38,107,0,2,8,4,2,0,7,0,0,2,1,0,0,0,0,0,41,158,3,16,3,4,14,True
1929,4,2,2972,586,14,0.091,0.853,0.056,-0.6124,493,363,11099,0,3,18,17,11,8,2,0,4,4,9,2,0,0,0,0,123,441,2,36,5,4,25,True
49,2,0,4,3,1,0.108,0.824,0.069,-0.743,9,62,66,0,3,24,7,10,4,10,0,2,0,2,0,0,1,1,0,109,498,1,24,3,5,36,True
268,19,8,1,86,5,0,0.791,0.209,0.9571,24,164,392,0,3,10,21,10,1,5,0,1,1,3,3,0,0,0,0,91,419,2,39,4,5,23,True
63,29,2,17,1,2,0.091,0.878,0.031,-0.4118,10,124,115,0,2,6,9,4,0,7,0,3,1,1,1,0,3,3,0,52,253,2,27,3,5,17,True
889,16,3,2,189,7,0.08,0.82,0.101,-0.0258,110,282,1110,1,3,11,4,5,0,4,0,0,0,0,1,0,1,0,0,45,227,2,8,2,5,23,True
38,6,15,2,1,6,0,0.909,0.091,0.3818,15,52,68,1,3,10,7,2,4,2,0,0,1,2,1,2,1,0,0,44,202,0,11,2,5,22,True
402,3,0,0,11,4,0,0.64,0.36,0.8957,80,108,421,0,2,2,7,1,1,3,0,4,0,0,2,0,0,0,0,28,131,1,21,3,5,9,True
5,0,0,0,0,5,0,0.876,0.124,0.4767,0,0,10,0,2,4,4,4,2,3,0,2,1,0,0,0,0,0,0,36,159,1,18,2,4,18,True
3,0,0,0,0,0,0.054,0.884,0.063,0.1779,1,0,3,0,3,23,12,8,0,2,0,0,0,1,1,0,2,0,0,80,346,2,27,4,4,20,True
3,0,0,0,0,0,0.123,0.789,0.088,-0.296,1,0,3,0,2,7,7,10,0,4,0,1,2,0,1,0,0,0,0,65,274,2,21,2,4,33,True
